plot,cx,cy,conf
1,4276.0,2541.5,0.9002891128152579
2,4357.5,2544.5,0.9999562959256643
3,4347.0,2544.0,0.44178656739006683
4,4518.5,2553.0,0.9999997615814351
5,4572.5,2556.5,0.9999935992298111
6,4650.0,2562.5,0.9999985670074514
7,4717.0,2567.75,0
8,4784.0,2573.0,0.9999975222818565
9,5043.0,2609.5,0.9995139700371508
10,5122.5,2613.5,0.9999990364428464
11,5193.0,2617.0,0.9923871159553528
12,5266.0,2622.0,0.9317528009414673
13,5336.5,2626.0,0.9999976599328428
14,5408.5,2630.0,0.9999995870469189
15,5482.0,2634.25,0
16,5555.5,2638.5,0.8529551029205322
17,5720.5,2660.5,0.9994354844093323
18,5797.5,2664.5,0.5603506819829204
19,5869.0,2668.5,0.3651685378003853
20,5941.5,2674.0,0.9999997246979434
21,6019.0,2678.0,0.9253619231411297
22,6091.0,2683.5,0.9999999311744849
23,6241.0,2700.5,0.9999993117448777
24,6316.25,2706.25,0
25,6391.5,2712.0,0.9999996558724309
26,6465.5,2716.0,0.9999998623489704
27,6535.5,2720.0,0.8995048403739929
28,6607.0,2725.0,0.9999999311744849
29,6679.5,2729.0,0.9999916032918427
30,6760.5,2734.0,0.999999449395897
31,6770.0,2339.5,0.9999947004371946
32,6779.5,2265.5,0.8348015599054164
33,6785.0,2196.5,0.999999380570387
34,6788.0,2140.0,0.9999997246979434
35,6794.5,2070.0,0.8443694710731506
36,6800.0,2000.0,0.5179327726364136
37,6818.0,1798.0,0.906450092792511
38,6823.0,1731.0,0.7357873320579529
39,6825.0,1662.5,0.7023295664231365
40,6828.0,1584.5,0.9999960769466525
41,6862.0,1444.5,0.9999997935234566
42,6870.0,1372.5,0.9716020226478577
43,6875.5,1300.0,0.9999998623489704
44,6880.0,1233.0,0.5261675119400024
45,6884.0,1174.0,0.9999993117448777
46,6888.5,1116.5,0.9999831318855286
47,6892.5,1041.5,0.9196779727935791
48,6900.0,964.0,0.9999997246979434
49,6474.5,902.5,0.9999929798007293
50,6471.0,971.0,0.9999995182214076
51,6463.0,1037.0,0.9847910404205322
52,6462.5,1101.5,0.9999996558724309
53,6457.5,1172.5,0.9999993117448777
54,6452.5,1244.5,0.9999988299663297
55,6433.5,1402.0,0.7566525936126709
56,6431.0,1476.0,0.9999997935234566
57,6429.5,1542.5,0.9999953886918919
58,6426.5,1609.5,0.9999997246979434
59,6402.5,1838.5,0.6949551105499268
60,6397.5,1910.0,0.9999981417113152
61,6389.0,1974.0,0.999998279362313
62,6386.5,2041.5,0.9999940810080215
63,6380.5,2107.5,0.9999990364428464
64,6373.5,2168.5,0.9999995870469189
65,6368.0,2240.5,0.999999449395897
66,6362.0,2309.5,0.9999992429193688
67,6096.5,2300.0,0.9733073115348816
68,6102.0,2228.5,0.999999449395897
69,6105.5,2157.5,0.9999372313938736
70,6109.5,2087.0,0.9999969716779362
71,6111.0,2026.0,0.999995182215476
72,6118.0,1955.0,0.9999949757390659
73,6121.5,1891.0,0.9990277886390686
74,6125.5,1819.5,0.9999978664093272
75,6150.5,1621.0,0.9999977287583369
76,6155.5,1541.5,0.9999960081211735
77,6160.0,1460.0,0.9999968340269625
78,6162.5,1402.0,0.9999986923153217
79,6178.0,1266.0,0.9999855015148964
80,6194.5,1195.0,0.999999449395897
81,6195.0,1123.5,0.9999891944019018
82,6202.5,1059.0,0.9999999311744849
83,6205.5,992.0,0.6709062457084656
84,6210.5,917.5,0.8438645197367703
85,5787.0,837.5,0.9999997935234566
86,5778.5,915.5,0.7004066705703735
87,5771.5,985.5,0.968663215637207
88,5766.5,1050.5,0.7762245535850525
89,5760.5,1117.0,0.9999902267832098
90,5755.0,1187.5,0.99949841649994
91,5746.5,1248.0,0.9964728951454163
92,5741.5,1330.0,0.9975696802139282
93,5754.0,1476.5,0.999999380570387
94,5748.0,1554.0,0.9999719880677906
95,5744.0,1619.0,0.9999574659526671
96,5738.5,1683.0,0.9999899514815137
97,5695.0,1915.5,0.9999504457934018
98,5689.5,1995.5,0.9999960081211735
99,5685.0,2054.0,0.9997777657193861
100,5681.5,2120.5,0.9999946316117284
101,5674.0,2185.0,0.9999983481878129
102,5670.5,2265.0,0.9999982105368138
103,5415.5,2243.5,0.6881012916564941
104,5421.5,2168.5,0.9999989676173402
105,5428.0,2099.0,0.9999979352348233
106,5431.5,2030.5,0.9999983481878129
107,5436.0,1966.5,0.9999898826560913
108,5443.0,1901.5,0.9999991740938607
109,5446.5,1839.5,0.999925118214859
110,5452.5,1763.5,0.9999434944657334
111,5463.0,1578.5,0.9863278033489146
112,5470.5,1514.0,0.9994031001770821
113,5474.5,1446.5,0.9997994451426735
114,5478.5,1373.0,0.9998558807621529
115,5515.5,1224.0,0.5813354849815369
116,5519.5,1154.0,0.99869242979467
117,5522.5,1083.5,0.9999699921356012
118,5526.0,1018.5,0.9999021995833515
119,5528.0,944.0,0.9996100448176036
120,5533.0,872.0,0.6829570999060888
121,5105.5,868.0,0.9964740872383118
122,5103.5,939.0,0.6682319284920576
123,5101.0,1006.0,0.8401712827137513
124,5097.5,1081.5,0.9173778295516968
125,5073.5,1237.0,0.7066298723220825
126,5071.5,1305.0,0.9999922915462542
127,5067.5,1373.0,0.8384327292442322
128,5065.0,1444.0,0.7723110318183899
129,5036.0,1640.0,0.9999482433918556
130,5033.0,1714.5,0.809909311513587
131,5029.0,1780.0,0.9999987611408254
132,5026.5,1852.0,0.999998279362313
133,5006.5,1998.5,0.9694460385165539
134,5004.5,2067.0,0.9326958656311035
135,5001.0,2136.0,0.9999992429193688
136,4998.0,2209.0,0.9999980728858172
137,4731.0,2179.0,0.9999990364428464
138,4737.0,2113.0,0.9918095911993509
139,4739.5,2050.5,0.8721161484718323
140,4746.0,1980.0,0.9298765659332275
141,4748.5,1908.0,0.9999984858388146
142,4755.0,1852.0,0.9865082502365112
143,4759.0,1786.0,0.9999097422778179
144,4762.5,1716.0,0.7416265606880188
145,4811.0,1526.0,0.999999880790714
146,4797.0,1446.0,0.9999995182214076
147,4798.5,1379.0,0.9999995870469189
148,4803.5,1309.5,0.999999449395897
149,4828.0,1162.0,0.9999917409427199
150,4833.0,1087.5,0.9999982105368138
151,4833.0,1019.0,0.9999634537407877
152,4839.0,949.0,0.9999966963759913
153,6587.5,497.5,0.9999992429193688
154,6506.5,493.5,0.9999987611408254
155,6437.0,489.5,0.9999978664093272
156,6363.5,485.0,0.9090315103530884
157,6289.5,481.0,0.9999964898995394
158,6217.0,477.0,0.9010699987411499
159,6018.0,483.0,0.6301837554497145
160,5957.5,483.0,0.999996902852449
161,5873.0,483.5,0.9924226192047416
162,5805.0,484.5,0.9999965587250227
163,5736.0,485.0,0.9999990364428464
164,5661.0,485.0,0.8427718877792358
165,5592.0,485.5,0.9999977287583369
166,5521.0,484.0,0.9999995182214076
167,5279.0,508.0,0.9999979352348233
168,5193.0,515.5,0.9999984170133134
169,5121.5,523.0,0.9999977975838318
170,5058.0,530.5,0.9999984170133134
171,4977.5,536.0,0.9999990727694587
172,4905.0,544.0,0.9999987611408254
173,4836.5,552.0,0.9999995182214076
174,4757.0,557.5,0.9999955951683134
175,4575.0,548.0,0.8104053139686584
176,4499.5,537.0,0.9999990364428464
177,4433.0,527.0,0.9999929798007293
178,4360.5,516.5,0.6607944369316101
179,4289.5,505.0,0.9999959392956953
180,4223.5,494.5,0.9999986923153217
181,4147.5,482.5,0.7592641596791024
182,4065.5,468.5,0.8290039300918579
183,4428.0,923.0,0.6873044371604919
184,4348.5,916.5,0.9439360499382019
185,4280.0,913.0,0.999996145772132
186,4196.5,908.5,0.5345629597386379
187,3994.0,894.5,0.8766183257102966
188,3917.5,891.0,0.9999995182214076
189,3842.5,885.0,0.9999945627862629
190,3767.0,884.5,0.9999959392956953
191,3749.5,1122.0,0.9989699721336365
192,3827.0,1126.0,0.8347143530845642
193,3897.5,1130.0,0.9999224543571472
194,3976.5,1133.0,0.7277348041534424
195,4176.0,1148.0,0.6465051770210266
196,4257.5,1154.0,0.9999891255764863
197,4328.5,1160.5,0.8094519972801208
198,4405.5,1167.0,0.9999955263428388
199,3758.5,1507.0,0.9999504457934018
200,3837.5,1514.0,0.9999989676173402
201,3906.5,1518.0,0.9999995182214076
202,3989.5,1525.0,1.0
203,4145.5,1537.5,0.9999997246979434
204,4220.5,1542.0,0.999999380570387
205,4293.5,1547.0,0.8319331407546997
206,4371.5,1551.5,0.9999998623489704
207,4342.0,1815.0,0.9999946316117284
208,4337.5,1886.0,1.0
209,4333.0,1949.5,0.999918923983187
210,4328.5,2013.5,0.9972853434274347
211,4321.5,2082.0,0.9996100448176036
212,4318.5,2155.5,0.8103696034730791
213,3772.0,2140.0,0.9985970258712769
214,3771.0,2066.5,0.9999998623489704
215,3771.5,1997.5,0.9638610482215881
216,3769.0,1932.0,0.9999999311744849
217,3768.0,1874.5,0.9999993117448777
218,3765.0,1798.5,1.0
219,3344.0,2154.0,0.8512266874313354
220,3345.0,2084.5,0.9999993117448777
221,3340.0,2014.0,0.9999984170133134
222,3344.0,1942.0,0.5212697386741638
223,3330.0,1781.5,0.7765591740608215
224,3329.5,1701.5,0.9034054279327393
225,3330.5,1635.5,0.9999998623489704
226,3329.0,1566.0,0.9999997246979434
227,3323.0,1344.0,0.6657047271728516
228,3324.5,1278.5,0.9999995870469189
229,3323.0,1202.0,0.8205322623252869
230,3324.5,1145.5,1.0
231,3320.0,1075.0,0.971145510673523
232,3323.0,1009.0,0.8887261297851058
233,3323.0,944.5,0.6204925804143065
234,3323.0,871.5,0.9999998623489704
235,3044.5,878.5,0.5029677152633667
236,3044.5,951.5,0.9999997935234566
237,3044.0,1015.0,0.962891697883606
238,3044.5,1088.5,0.8026383519172668
239,3049.0,1252.5,0.8242345452308655
240,3049.5,1323.5,0.9999999311744849
241,3047.0,1393.0,0.9303097724914551
242,3049.5,1459.0,0.9497808218002319
243,3084.5,1689.0,1.0
244,3084.0,1763.5,0.9999986923153217
245,3085.5,1831.5,0.9999992429193688
246,3085.5,1895.5,0.9999991052683532
247,3085.0,1960.0,0.9999995870469189
248,3087.0,2031.0,0.9051847704466922
249,3085.5,2088.0,0.7458930015563965
250,3088.5,2167.0,0.9999995870469189
251,2665.0,2083.0,0.9999523040702117
252,2668.5,2007.5,0.5308182239532471
253,2668.5,1943.5,0.6993696698467643
