plex_range,size,street_side,margin,array_key,style_vote,style_conf
1-8,8,up,0.8563,8,mysk,0.6667
9-16,8,up,0.8692,8,mysk,0.75
17-22,6,up,0.9037,6,mysk,0.6667
23-30,8,up,0.9147,8,mysk,0.75
31-36,6,left,0.9166,6,mysk,0.8
37-40,4,left,0.6276,4-1,moon,1.0
41-48,8,left,0.8825,8,mysk,0.75
49-54,6,right,0.9026,6,mysk,0.6667
55-58,4,right,0.6239,4-1,moon,1.0
59-66,8,left,0.8967,8,moon,1.0
67-74,8,left,0.879,8,mysk,0.6667
75-78,4,left,0.8129,4-2,mysk,1.0
79-84,6,left,0.9078,6,mysk,0.6
85-92,8,right,0.9358,8,mysk,0.75
93-96,4,left,0.9839,4-1,moon,1.0
97-102,6,right,0.9221,6,mysk,0.6667
103-110,8,left,0.8891,8,mysk,0.75
111-114,4,right,0.9955,4-2,mysk,1.0
115-120,6,left,0.8937,6,mysk,0.6667
121-124,4,right,0.9747,4-2,mysk,1.0
125-128,4,right,0.8922,4-1,moon,1.0
129-132,4,right,0.9439,4-2,mysk,1.0
133-136,4,right,0.8244,4-1,moon,1.0
137-144,8,left,0.8305,8,mysk,0.6
145-148,4,left,0.9099,4-2,mysk,1.0
149-152,4,left,0.8297,4-1,moon,1.0
153-158,6,down,0.7735,6,mysk,0.8
159-166,8,down,0.9799,8,mysk,0.75
167-174,8,up,0.9152,8,moon,1.0
175-182,8,down,0.8815,8,mysk,0.75
183-186,4,up,0.9268,4-2,mysk,1.0
187-190,4,up,0.9619,4-1,moon,1.0
191-194,4,down,0.8851,4-2,mysk,1.0
195-198,4,down,0.9952,4-1,moon,1.0
199-202,4,up,0.9332,4-1,moon,1.0
203-206,4,up,0.9325,4-2,mysk,1.0
207-212,6,left,0.9035,6,moon,1.0
213-218,6,left,0.9615,6,mysk,0.6667
219-222,4,right,0.9029,4-1,moon,1.0
223-226,4,right,0.9609,4-2,mysk,1.0
227-234,8,right,0.8721,8,moon,0.5
235-238,4,left,0.8271,4-1,moon,1.0
239-242,4,right,0.8136,4-2,mysk,1.0
243-250,8,left,0.9624,8,mysk,0.75
251-258,8,left,0.656,8,moon,1.0
259-266,8,right,0.9453,8,mysk,0.75
267-270,4,left,0.9153,4-1,moon,1.0
271-274,4,right,0.9231,4-2,mysk,1.0
275-282,8,left,0.9573,8,mysk,0.75
283-286,4,right,0.9777,4-1,moon,1.0
287-290,4,right,0.9442,4-2,mysk,1.0
291-298,8,right,0.9888,8,mysk,0.7503
299-302,4,left,0.9427,4-1,moon,1.0
303-306,4,left,0.9007,4-2,mysk,1.0
307-314,8,left,0.7261,8,moon,0.6667
315-318,4,right,0.9388,4-1,moon,1.0
319-322,4,right,0.9058,4-2,mysk,1.0
323-330,8,right,0.9446,8,mysk,0.75
331-334,4,left,0.9887,4-1,moon,1.0
335-338,4,right,0.8823,4-2,mysk,1.0
339-346,8,left,0.9388,8,mysk,0.6667
347-354,8,down,0.9573,8,mysk,0.75
355-362,8,down,0.9798,8,mysk,0.75
363-368,6,down,0.9501,6,mysk,0.6667
369-376,8,down,0.9409,8,mysk,0.75
377-382,6,right,0.9444,6,mysk,0.6667
383-388,6,right,0.9347,6,mysk,0.6667
389-396,8,right,0.972,8,mysk,0.75
397-404,8,down,0.8264,8,moon,1.0
405-410,6,up,0.883,6,mysk,0.6
411-418,8,up,0.9365,8,mysk,0.75
419-422,4,up,0.9281,4-2,mysk,1.0
423-430,8,up,0.9073,8,mysk,0.6667
