unit_number,plot_number,facade_style,bedrooms,layout,bua,plex_range,plex_size,street_side,th_position
1,1,moon,4,moon-b,2607.99,1-8,8,up,TH08
2,2,mysk,3,mysk-b,2111.45,1-8,8,up,TH07
3,3,mysk,3,mysk-a,2094.65,1-8,8,up,TH06
4,4,mysk,3,mysk-b,2094.76,1-8,8,up,TH05
5,5,mysk,3,mysk-a,2094.76,1-8,8,up,TH04
6,6,mysk,3,mysk-b,2094.98,1-8,8,up,TH03
7,7,mysk,3,mysk-a,2111.45,1-8,8,up,TH02
8,8,moon,4,moon-a,2607.99,1-8,8,up,TH01
9,9,moon,4,moon-b,2607.99,9-16,8,up,TH08
10,10,mysk,3,mysk-b,2111.45,9-16,8,up,TH07
11,11,mysk,3,mysk-a,2094.65,9-16,8,up,TH06
12,12,mysk,3,mysk-b,2094.76,9-16,8,up,TH05
13,13,mysk,3,mysk-a,2094.76,9-16,8,up,TH04
14,14,mysk,3,mysk-b,2094.98,9-16,8,up,TH03
15,15,mysk,3,mysk-a,2111.45,9-16,8,up,TH02
16,16,moon,4,moon-a,2607.99,9-16,8,up,TH01
17,17,moon,4,moon-b,2607.99,17-22,6,up,TH06
18,18,mysk,3,mysk-b,2111.55,17-22,6,up,TH05
19,19,mysk,3,mysk-a,2094.76,17-22,6,up,TH04
20,20,mysk,3,mysk-b,2094.98,17-22,6,up,TH03
21,21,mysk,3,mysk-a,2111.55,17-22,6,up,TH02
22,22,moon,4,moon-a,2607.99,17-22,6,up,TH01
23,23,moon,4,moon-b,2607.99,23-30,8,up,TH08
24,24,mysk,3,mysk-b,2111.45,23-30,8,up,TH07
25,25,mysk,3,mysk-a,2094.65,23-30,8,up,TH06
26,26,mysk,3,mysk-b,2094.76,23-30,8,up,TH05
27,27,mysk,3,mysk-a,2094.76,23-30,8,up,TH04
28,28,mysk,3,mysk-b,2094.98,23-30,8,up,TH03
29,29,mysk,3,mysk-a,2111.45,23-30,8,up,TH02
30,30,moon,4,moon-a,2607.99,23-30,8,up,TH01
31,31,moon,4,moon-b,2607.99,31-36,6,left,TH06
32,32,mysk,3,mysk-b,2111.55,31-36,6,left,TH05
