plot_number,facade_style,style_margin,unit_type,yellow_score,flag
1,Earth,80.2,4BR,0.0,
2,Horizon,69.9,4BR,0.0,
3,Horizon,69.9,4BR,0.0,
4,Earth,80.2,4BR,0.0,
5,Horizon,69.9,4BR,0.0,
6,Horizon,69.9,5BR,198.3,
7,Horizon,69.9,5BR,344.8,
8,Horizon,69.9,5BR,151.9,
9,Earth,79.3,5BR,236.4,
10,Earth,80.2,4BR,0.0,
11,Earth,80.2,4BR,0.0,
12,Earth,80.2,4BR,0.0,
13,Horizon,69.9,4BR,0.0,
14,Earth,80.2,4BR,0.0,
15,Horizon,69.9,4BR,0.0,
16,Earth,80.2,4BR,0.0,
17,Earth,80.2,4BR,0.0,
18,Earth,79.3,5BR,210.3,
19,Horizon,69.9,5BR,238.8,
20,Horizon,69.9,5BR,308.5,
21,Horizon,69.9,5BR,177.6,
22,Earth,79.3,5BR,274.2,
23,Earth,80.2,4BR,0.0,
24,Earth,80.2,4BR,0.0,
25,Horizon,69.9,4BR,0.0,
26,Horizon,69.9,4BR,0.0,
27,Earth,80.2,4BR,0.0,
28,Earth,80.2,4BR,0.0,
29,Earth,79.3,5BR,299.5,
30,Horizon,69.9,5BR,264.6,
31,Horizon,69.9,5BR,370.1,
32,Horizon,69.9,5BR,275.5,
33,Horizon,69.9,5BR,250.7,
34,Horizon,69.9,5BR,292.3,
35,Earth,79.3,5BR,172.0,
36,Earth,79.3,5BR,301.1,
37,Horizon,69.9,5BR,195.8,
38,Horizon,69.9,5BR,255.7,
39,Earth,79.3,5BR,299.0,
40,Earth,79.3,5BR,373.7,
41,Horizon,69.9,5BR,403.4,
42,Horizon,69.9,5BR,224.2,
43,Horizon,69.9,5BR,151.4,
44,Horizon,69.9,5BR,238.2,
45,Earth,79.3,5BR,91.3,BORDERLINE
46,Earth,80.2,4BR,0.0,
47,Earth,80.2,4BR,0.0,
48,Earth,80.2,4BR,0.0,
49,Horizon,69.9,4BR,0.0,
50,Horizon,69.9,4BR,4.6,BORDERLINE
51,Earth,80.2,4BR,0.0,
52,Earth,80.2,4BR,0.0,
53,Earth,80.2,4BR,0.0,
54,Earth,79.3,5BR,350.0,
55,Horizon,69.9,5BR,226.2,
56,Horizon,69.9,5BR,284.9,
57,Horizon,69.9,5BR,301.9,
58,Earth,80.2,4BR,0.0,
59,Earth,80.2,4BR,0.0,
60,Earth,80.2,4BR,0.0,
61,Horizon,69.9,4BR,0.0,
62,Earth,80.2,4BR,0.0,
63,Horizon,69.9,4BR,0.0,
64,Earth,80.2,4BR,0.0,
65,Earth,80.2,4BR,0.0,
66,Earth,79.3,5BR,267.4,
67,Horizon,69.9,5BR,226.2,
68,Horizon,69.9,5BR,170.7,
69,Horizon,69.9,5BR,248.2,
70,Horizon,69.9,4BR,0.0,
71,Horizon,69.9,4BR,0.0,
72,Earth,80.2,4BR,0.0,
73,Horizon,69.9,4BR,0.0,
74,Earth,80.2,4BR,0.0,
75,Earth,80.2,4BR,0.0,
76,Horizon,69.9,4BR,0.0,
77,Earth,80.2,4BR,0.0,
78,Horizon,69.9,4BR,0.0,
79,Horizon,69.9,4BR,0.0,
80,Horizon,69.9,5BR,324.5,
81,Horizon,69.9,5BR,391.7,
82,Horizon,69.9,5BR,271.1,
83,Earth,79.3,5BR,295.3,
84,Earth,80.2,4BR,0.0,
85,Earth,80.2,4BR,0.0,
86,Earth,80.2,4BR,0.0,
87,Horizon,69.9,4BR,0.0,
