range_start,range_end,plex_size,street_side,facade_style,orientation_margin,style_vote_frac
1,8,8,down,jade,0.344,1.0
9,14,6,down,pearl,0.333,1.0
15,20,6,down,jade,0.417,1.0
21,28,8,down,pearl,0.312,1.0
29,32,4,right,jade,0.25,1.0
33,40,8,right,pearl,0.188,1.0
41,48,8,right,jade,0.344,1.0
49,56,8,left,pearl,0.312,1.0
57,64,8,left,jade,0.312,1.0
65,68,4,up,pearl,0.312,1.0
69,76,8,right,pearl,0.312,1.0
77,84,8,right,jade,0.5,1.0
85,88,4,left,pearl,0.375,1.0
89,94,6,left,jade,0.292,1.0
95,98,4,left,pearl,0.375,1.0
99,102,4,right,jade,0.312,1.0
103,108,6,right,pearl,0.333,1.0
109,112,4,right,jade,0.375,1.0
113,116,4,down,pearl,0.438,1.0
117,124,8,up,pearl,0.344,1.0
125,132,8,up,jade,0.5,1.0
133,136,4,up,pearl,0.438,1.0
137,144,8,up,jade,0.25,1.0
145,152,8,left,pearl,0.312,1.0
153,160,8,left,jade,0.312,1.0
161,164,4,up,jade,0.375,1.0
165,172,8,right,pearl,0.312,1.0
173,180,8,right,jade,0.25,1.0
181,188,8,down,jade,0.312,1.0
189,192,4,up,jade,0.5,1.0
193,196,4,up,pearl,0.5,1.0
197,200,4,down,pearl,0.375,1.0
201,208,8,left,jade,0.312,1.0
209,212,4,up,pearl,0.375,1.0
213,216,4,up,jade,0.5,1.0
217,224,8,right,pearl,0.312,1.0
225,232,8,left,pearl,0.312,1.0
233,240,8,left,jade,0.312,1.0
241,244,4,up,pearl,0.438,1.0
245,252,8,right,pearl,0.312,1.0
253,260,8,right,jade,0.25,1.0
261,266,6,up,pearl,0.333,1.0
267,272,6,up,jade,0.417,1.0
273,280,8,up,pearl,0.312,1.0
281,286,6,up,jade,0.458,1.0
287,290,4,down,jade,0.375,1.0
291,294,4,left,pearl,0.375,1.0
295,300,6,left,jade,0.458,1.0
301,304,4,left,pearl,0.438,1.0
305,308,4,right,jade,0.375,1.0
309,314,6,right,pearl,0.458,1.0
315,318,4,right,jade,0.438,1.0
319,326,8,left,pearl,0.312,1.0
327,334,8,left,jade,0.344,1.0
335,338,4,up,jade,0.312,1.0
339,346,8,right,pearl,0.312,1.0
347,354,8,right,jade,0.344,1.0
355,360,6,left,pearl,0.333,1.0
361,368,8,left,jade,0.5,1.0
369,374,6,left,pearl,0.375,1.0
375,382,8,down,jade,0.25,1.0
383,390,8,down,pearl,0.312,1.0
391,398,8,down,jade,0.281,1.0
399,406,8,down,pearl,0.25,1.0
