unit_number,plot_number,facade_style,bedrooms,layout,bua,plex_range,plex_size,street_side,th_position
1,1,aston,4,aston-e,2187.55,1-6,6,up,TH06
2,2,aston,3,aston-b,2046.33,1-6,6,up,TH05
3,3,aston,3,aston-c,2045.57,1-6,6,up,TH04
4,4,aston,3,aston-b,2045.25,1-6,6,up,TH03
5,5,aston,3,aston-c,2048.91,1-6,6,up,TH02
6,6,aston,4,aston-a,2184.54,1-6,6,up,TH01
7,7,aston,4,aston-d,2186.26,7-16,10,up,TH10
8,8,palma,3,palma-b,1891.43,7-16,10,up,TH09
9,9,palma,3,palma-a,1891.0,7-16,10,up,TH08
10,10,aston,3,aston-b,2062.8,7-16,10,up,TH07
11,11,aston,3,aston-a,2088.52,7-16,10,up,TH06
12,12,palma,3,palma-b,1922.11,7-16,10,up,TH05
13,13,palma,3,palma-a,1897.46,7-16,10,up,TH04
14,14,palma,3,palma-b,1896.39,7-16,10,up,TH03
15,15,palma,3,palma-a,1890.14,7-16,10,up,TH02
16,16,aston,4,aston-a,2186.26,7-16,10,up,TH01
17,17,palma,4,palma-b,2212.84,17-24,8,up,TH08
18,18,palma,3,palma-b,1864.52,17-24,8,up,TH07
19,19,palma,3,palma-a,1866.68,17-24,8,up,TH06
20,20,palma,3,palma-b,1867.75,17-24,8,up,TH05
21,21,palma,3,palma-a,1867.75,17-24,8,up,TH04
22,22,palma,3,palma-b,1867.54,17-24,8,up,TH03
23,23,palma,3,palma-a,1865.82,17-24,8,up,TH02
24,24,palma,4,palma-a,2211.55,17-24,8,up,TH01
25,25,aston,4,aston-b,2140.73,25-29,5,left,TH05
26,26,aston,3,aston-a,2023.4,25-29,5,left,TH04
27,27,palma,3,palma-b,1880.67,25-29,5,left,TH03
28,28,palma,3,palma-a,1880.77,25-29,5,left,TH02
29,29,aston,4,aston-a,2168.5,25-29,5,left,TH01
30,30,aston,4,aston-d,2168.61,30-34,5,down,TH05
31,31,palma,3,palma-b,1881.21,30-34,5,down,TH04
32,32,palma,3,palma-a,1881.2,30-34,5,down,TH03
33,33,aston,3,aston-b,2023.29,30-34,5,down,TH02
34,34,aston,4,aston-c,2139.87,30-34,5,down,TH01
35,35,palma,4,palma-b,2212.84,35-42,8,down,TH08
36,36,palma,3,palma-b,1864.52,35-42,8,down,TH07
37,37,palma,3,palma-a,1866.68,35-42,8,down,TH06
38,38,palma,3,palma-b,1867.75,35-42,8,down,TH05
39,39,palma,3,palma-a,1867.75,35-42,8,down,TH04
40,40,palma,3,palma-b,1867.54,35-42,8,down,TH03
41,41,palma,3,palma-a,1865.82,35-42,8,down,TH02
42,42,palma,4,palma-a,2211.55,35-42,8,down,TH01
43,43,charm,4,charm-b,2249.87,43-46,4,up,TH04
44,44,charm,3,charm-b,2099.93,43-46,4,up,TH03
45,45,charm,3,charm-a,2097.67,43-46,4,up,TH02
46,46,charm,4,charm-a,2218.01,43-46,4,up,TH01
47,47,charm,4,charm-b,2249.87,47-50,4,up,TH04
48,48,charm,3,charm-b,2099.93,47-50,4,up,TH03
49,49,charm,3,charm-a,2097.67,47-50,4,up,TH02
50,50,charm,4,charm-a,2218.01,47-50,4,up,TH01
51,51,charm,4,charm-b,2249.87,51-54,4,down,TH04
52,52,charm,3,charm-b,2099.93,51-54,4,down,TH03
53,53,charm,3,charm-a,2097.67,51-54,4,down,TH02
54,54,charm,4,charm-a,2218.01,51-54,4,down,TH01
55,55,charm,4,charm-b,2249.87,55-58,4,down,TH04
56,56,charm,3,charm-b,2099.93,55-58,4,down,TH03
57,57,charm,3,charm-a,2097.67,55-58,4,down,TH02
58,58,charm,4,charm-a,2218.01,55-58,4,down,TH01
59,59,aston,4,aston-d,2168.61,59-63,5,down,TH05
60,60,palma,3,palma-b,1881.21,59-63,5,down,TH04
61,61,palma,3,palma-a,1881.2,59-63,5,down,TH03
62,62,aston,3,aston-b,2023.29,59-63,5,down,TH02
63,63,aston,4,aston-c,2139.87,59-63,5,down,TH01
64,64,charm,4,charm-b,2249.87,64-67,4,down,TH04
65,65,charm,3,charm-b,2099.93,64-67,4,down,TH03
66,66,charm,3,charm-a,2097.67,64-67,4,down,TH02
67,67,charm,4,charm-a,2218.01,64-67,4,down,TH01
68,68,charm,4,charm-b,2249.87,68-71,4,down,TH04
69,69,charm,3,charm-b,2099.93,68-71,4,down,TH03
70,70,charm,3,charm-a,2097.67,68-71,4,down,TH02
71,71,charm,4,charm-a,2218.01,68-71,4,down,TH01
72,72,aston,4,aston-e,2187.55,72-77,6,down,TH06
73,73,aston,3,aston-b,2046.33,72-77,6,down,TH05
74,74,aston,3,aston-c,2045.57,72-77,6,down,TH04
75,75,aston,3,aston-b,2045.25,72-77,6,down,TH03
76,76,aston,3,aston-c,2048.91,72-77,6,down,TH02
77,77,aston,4,aston-a,2184.54,72-77,6,down,TH01
78,78,aston,4,aston-e,2187.55,78-83,6,up,TH06
79,79,aston,3,aston-b,2046.33,78-83,6,up,TH05
80,80,aston,3,aston-c,2045.57,78-83,6,up,TH04
81,81,aston,3,aston-b,2045.25,78-83,6,up,TH03
82,82,aston,3,aston-c,2048.91,78-83,6,up,TH02
83,83,aston,4,aston-a,2184.54,78-83,6,up,TH01
84,84,charm,4,charm-b,2249.87,84-87,4,up,TH04
85,85,charm,3,charm-b,2099.93,84-87,4,up,TH03
86,86,charm,3,charm-a,2097.67,84-87,4,up,TH02
87,87,charm,4,charm-a,2218.01,84-87,4,up,TH01
88,88,aston,4,aston-d,2186.26,88-97,10,up,TH10
89,89,palma,3,palma-b,1891.43,88-97,10,up,TH09
90,90,palma,3,palma-a,1891.0,88-97,10,up,TH08
91,91,aston,3,aston-b,2062.8,88-97,10,up,TH07
92,92,aston,3,aston-a,2088.52,88-97,10,up,TH06
93,93,palma,3,palma-b,1922.11,88-97,10,up,TH05
94,94,palma,3,palma-a,1897.46,88-97,10,up,TH04
95,95,palma,3,palma-b,1896.39,88-97,10,up,TH03
96,96,palma,3,palma-a,1890.14,88-97,10,up,TH02
97,97,aston,4,aston-a,2186.26,88-97,10,up,TH01
98,98,charm,4,charm-b,2249.87,98-101,4,left,TH04
99,99,charm,3,charm-b,2099.93,98-101,4,left,TH03
100,100,charm,3,charm-a,2097.67,98-101,4,left,TH02
101,101,charm,4,charm-a,2218.01,98-101,4,left,TH01
102,102,aston,4,aston-d,2186.26,102-111,10,down,TH10
103,103,palma,3,palma-b,1891.43,102-111,10,down,TH09
104,104,palma,3,palma-a,1891.0,102-111,10,down,TH08
105,105,aston,3,aston-b,2062.8,102-111,10,down,TH07
106,106,aston,3,aston-a,2088.52,102-111,10,down,TH06
107,107,palma,3,palma-b,1922.11,102-111,10,down,TH05
108,108,palma,3,palma-a,1897.46,102-111,10,down,TH04
109,109,palma,3,palma-b,1896.39,102-111,10,down,TH03
110,110,palma,3,palma-a,1890.14,102-111,10,down,TH02
111,111,aston,4,aston-a,2186.26,102-111,10,down,TH01
112,112,palma,4,palma-b,2212.84,112-119,8,down,TH08
113,113,palma,3,palma-b,1864.52,112-119,8,down,TH07
114,114,palma,3,palma-a,1866.68,112-119,8,down,TH06
115,115,palma,3,palma-b,1867.75,112-119,8,down,TH05
116,116,palma,3,palma-a,1867.75,112-119,8,down,TH04
117,117,palma,3,palma-b,1867.54,112-119,8,down,TH03
118,118,palma,3,palma-a,1865.82,112-119,8,down,TH02
119,119,palma,4,palma-a,2211.55,112-119,8,down,TH01
120,120,aston,4,aston-b,2140.73,120-124,5,down,TH05
121,121,aston,3,aston-a,2023.4,120-124,5,down,TH04
122,122,palma,3,palma-b,1880.67,120-124,5,down,TH03
123,123,palma,3,palma-a,1880.77,120-124,5,down,TH02
124,124,aston,4,aston-a,2168.5,120-124,5,down,TH01
125,125,aston,4,aston-e,2187.55,125-130,6,down,TH06
126,126,aston,3,aston-b,2046.33,125-130,6,down,TH05
127,127,aston,3,aston-c,2045.57,125-130,6,down,TH04
128,128,aston,3,aston-b,2045.25,125-130,6,down,TH03
129,129,aston,3,aston-c,2048.91,125-130,6,down,TH02
130,130,aston,4,aston-a,2184.54,125-130,6,down,TH01
131,131,palma,4,palma-b,2212.84,131-138,8,up,TH08
132,132,palma,3,palma-b,1864.52,131-138,8,up,TH07
133,133,palma,3,palma-a,1866.68,131-138,8,up,TH06
134,134,palma,3,palma-b,1867.75,131-138,8,up,TH05
135,135,palma,3,palma-a,1867.75,131-138,8,up,TH04
