facade_style,plex_size,th_position,layout,bedrooms,bua
bold,6,1,bold-a,4,2284.4
bold,6,2,bold-a,3,1959.5
bold,6,3,bold-b,3,1959.8
bold,6,4,bold-a,3,1959.8
bold,6,5,bold-b,3,1959.5
bold,6,6,bold-b,4,2284.4
bold,8,1,bold-c,4,2346.3
bold,8,2,bold-c,3,1899.3
bold,8,3,bold-d,3,1898.2
bold,8,4,bold-c,3,1898.2
bold,8,5,bold-d,3,1898.2
bold,8,6,bold-c,3,1898.2
bold,8,7,bold-d,3,1899.3
bold,8,8,bold-d,4,2346.3
bold,10,1,bold-a,4,2284.3
bold,10,2,bold-a,3,1959.5
bold,10,3,bold-b,3,1959.7
bold,10,4,bold-c,3,1896.0
bold,10,5,bold-d,3,1928.9
bold,10,6,bold-a,3,1992.4
bold,10,7,bold-b,3,1959.0
bold,10,8,bold-c,3,1898.3
bold,10,9,bold-d,3,1895.6
bold,10,10,bold-b,4,2284.3
sleek,6,1,sleek-a,4,2264.6
sleek,6,2,sleek-a,3,2009.2
sleek,6,3,sleek-b,3,2010.0
sleek,6,4,sleek-a,3,2010.0
sleek,6,5,sleek-b,3,2009.2
sleek,6,6,sleek-b,4,2264.6
sleek,8,1,sleek-c,4,2344.7
sleek,8,2,sleek-c,3,1906.4
sleek,8,3,sleek-d,3,1905.9
sleek,8,4,sleek-c,3,1905.9
sleek,8,5,sleek-d,3,1905.9
sleek,8,6,sleek-c,3,1905.9
sleek,8,7,sleek-d,3,1907.2
sleek,8,8,sleek-d,4,2345.7
sleek,10,1,sleek-a,4,2264.5
sleek,10,2,sleek-a,3,2009.2
sleek,10,3,sleek-b,3,2011.1
sleek,10,4,sleek-c,3,1903.7
sleek,10,5,sleek-d,3,1938.2
sleek,10,6,sleek-a,3,2043.8
sleek,10,7,sleek-b,3,2010.5
sleek,10,8,sleek-c,3,1903.2
sleek,10,9,sleek-d,3,1903.0
sleek,10,10,sleek-b,4,2265.1
