range_start,range_end,plex_size,street_side,facade_style,vote_frac,orientation_margin
1,10,10,down,bold,1.0,0.3
11,20,10,down,sleek,0.8,0.425
21,28,8,right,bold,1.0,0.5
29,36,8,right,sleek,1.0,0.75
37,42,6,up,bold,1.0,0.4167
43,50,8,left,bold,1.0,0.3125
51,58,8,left,sleek,1.0,0.5312
59,66,8,right,bold,1.0,0.4375
67,74,8,right,sleek,1.0,0.6562
75,80,6,up,sleek,1.0,0.375
81,90,10,up,bold,1.0,0.775
91,100,10,down,sleek,1.0,0.425
101,110,10,up,bold,1.0,0.5
111,120,10,down,sleek,1.0,0.4
121,130,10,up,bold,1.0,0.8
131,140,10,down,sleek,1.0,0.45
141,150,10,down,bold,1.0,0.375
151,160,10,up,sleek,1.0,0.7
161,170,10,down,bold,1.0,0.35
171,180,10,up,sleek,1.0,0.775
181,190,10,down,bold,1.0,0.3
191,196,6,up,sleek,1.0,0.375
197,202,6,up,bold,1.0,0.2917
203,210,8,up,sleek,1.0,0.6562
211,216,6,left,bold,1.0,0.3333
217,222,6,left,sleek,1.0,0.3333
223,228,6,down,sleek,1.0,0.2083
229,236,8,right,bold,1.0,0.4062
237,244,8,left,sleek,1.0,0.4375
245,254,10,left,bold,1.0,0.375
255,262,8,right,bold,1.0,0.4062
263,272,10,right,bold,1.0,0.375
273,282,10,left,sleek,1.0,0.525
283,290,8,left,sleek,1.0,0.4062
291,300,10,down,sleek,1.0,0.4
301,308,8,down,bold,1.0,0.375
