plot_number,plex_range,plex_style,unit_style_vote,unit_style_conf,unit_style_samples,style_source,street_side,orientation_margin,plot_source
1,1-10,bold,bold,1.0,3,colour_vote_plex,E,0.3,pdf
2,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
3,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
4,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
5,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
6,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
7,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
8,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
9,1-10,bold,bold,1.0,6,colour_vote_plex,E,0.3,pdf
10,1-10,bold,bold,1.0,5,colour_vote_plex,E,0.3,pdf
11,11-20,sleek,sleek,1.0,3,colour_vote_plex,E,0.425,pdf
12,11-20,sleek,sleek,1.0,6,colour_vote_plex,E,0.425,pdf
13,11-20,sleek,sleek,1.0,6,colour_vote_plex,E,0.425,pdf
14,11-20,sleek,sleek,1.0,6,colour_vote_plex,E,0.425,pdf
15,11-20,sleek,sleek,1.0,6,colour_vote_plex,E,0.425,pdf
16,11-20,sleek,sleek,1.0,6,colour_vote_plex,E,0.425,pdf
17,11-20,sleek,bold,0.5,6,colour_vote_plex,E,0.425,pdf
18,11-20,sleek,bold,0.5,6,colour_vote_plex,E,0.425,pdf
19,11-20,sleek,sleek,1.0,3,colour_vote_plex,E,0.425,pdf
20,11-20,sleek,sleek,1.0,6,colour_vote_plex,E,0.425,pdf
21,21-28,bold,bold,1.0,6,colour_vote_plex,N,0.5,pdf
22,21-28,bold,bold,1.0,9,colour_vote_plex,N,0.5,pdf
23,21-28,bold,bold,1.0,9,colour_vote_plex,N,0.5,pdf
24,21-28,bold,bold,1.0,9,colour_vote_plex,N,0.5,pdf
25,21-28,bold,bold,1.0,6,colour_vote_plex,N,0.5,pdf
26,21-28,bold,bold,1.0,6,colour_vote_plex,N,0.5,pdf
27,21-28,bold,bold,1.0,6,colour_vote_plex,N,0.5,pdf
28,21-28,bold,bold,1.0,7,colour_vote_plex,N,0.5,pdf
29,29-36,sleek,sleek,1.0,6,colour_vote_plex,E,0.75,pdf
30,29-36,sleek,sleek,0.5455,11,colour_vote_plex,E,0.75,pdf
31,29-36,sleek,sleek,0.6667,9,colour_vote_plex,E,0.75,pdf
32,29-36,sleek,sleek,0.5455,11,colour_vote_plex,E,0.75,pdf
33,29-36,sleek,sleek,0.6667,9,colour_vote_plex,E,0.75,pdf
34,29-36,sleek,sleek,0.5455,11,colour_vote_plex,E,0.75,pdf
35,29-36,sleek,sleek,0.6667,9,colour_vote_plex,E,0.75,pdf
36,29-36,sleek,sleek,1.0,8,colour_vote_plex,E,0.75,pdf
37,37-42,bold,bold,1.0,6,colour_vote_plex,N,0.4167,pdf
38,37-42,bold,bold,1.0,9,colour_vote_plex,N,0.4167,pdf
39,37-42,bold,bold,1.0,9,colour_vote_plex,N,0.4167,pdf
40,37-42,bold,bold,1.0,9,colour_vote_plex,N,0.4167,pdf
41,37-42,bold,bold,1.0,9,colour_vote_plex,N,0.4167,pdf
42,37-42,bold,bold,1.0,6,colour_vote_plex,N,0.4167,pdf
43,43-50,bold,bold,1.0,8,colour_vote_plex,S,0.3125,pdf
44,43-50,bold,bold,1.0,6,colour_vote_plex,S,0.3125,pdf
45,43-50,bold,bold,1.0,6,colour_vote_plex,S,0.3125,pdf
46,43-50,bold,bold,1.0,6,colour_vote_plex,S,0.3125,pdf
47,43-50,bold,bold,1.0,6,colour_vote_plex,S,0.3125,pdf
48,43-50,bold,bold,1.0,6,colour_vote_plex,S,0.3125,pdf
49,43-50,bold,bold,1.0,6,colour_vote_plex,S,0.3125,pdf
50,43-50,bold,bold,1.0,6,colour_vote_plex,S,0.3125,pdf
51,51-58,sleek,sleek,1.0,8,colour_vote_plex,S,0.5312,pdf
52,51-58,sleek,sleek,0.6667,9,colour_vote_plex,S,0.5312,pdf
53,51-58,sleek,sleek,0.5455,11,colour_vote_plex,S,0.5312,pdf
54,51-58,sleek,sleek,0.6667,9,colour_vote_plex,S,0.5312,pdf
55,51-58,sleek,sleek,0.5455,11,colour_vote_plex,S,0.5312,pdf
56,51-58,sleek,sleek,0.6667,9,colour_vote_plex,S,0.5312,pdf
57,51-58,sleek,sleek,0.6667,9,colour_vote_plex,S,0.5312,pdf
58,51-58,sleek,sleek,1.0,6,colour_vote_plex,S,0.5312,pdf
59,59-66,bold,bold,1.0,6,colour_vote_plex,N,0.4375,pdf
60,59-66,bold,bold,1.0,9,colour_vote_plex,N,0.4375,pdf
61,59-66,bold,bold,1.0,9,colour_vote_plex,N,0.4375,pdf
62,59-66,bold,bold,1.0,9,colour_vote_plex,N,0.4375,pdf
63,59-66,bold,bold,1.0,9,colour_vote_plex,N,0.4375,pdf
64,59-66,bold,bold,1.0,9,colour_vote_plex,N,0.4375,pdf
65,59-66,bold,bold,1.0,9,colour_vote_plex,N,0.4375,pdf
66,59-66,bold,bold,1.0,10,colour_vote_plex,N,0.4375,pdf
67,67-74,sleek,sleek,1.0,6,colour_vote_plex,N,0.6562,pdf
68,67-74,sleek,sleek,0.5455,11,colour_vote_plex,N,0.6562,pdf
69,67-74,sleek,sleek,1.0,6,colour_vote_plex,N,0.6562,pdf
70,67-74,sleek,sleek,0.75,8,colour_vote_plex,N,0.6562,pdf
71,67-74,sleek,sleek,1.0,6,colour_vote_plex,N,0.6562,pdf
72,67-74,sleek,sleek,0.5455,11,colour_vote_plex,N,0.6562,pdf
73,67-74,sleek,sleek,0.6667,9,colour_vote_plex,N,0.6562,pdf
74,67-74,sleek,sleek,1.0,8,colour_vote_plex,N,0.6562,pdf
75,75-80,sleek,sleek,1.0,7,colour_vote_plex,N,0.375,pdf
76,75-80,sleek,sleek,0.6667,9,colour_vote_plex,N,0.375,pdf
77,75-80,sleek,sleek,1.0,9,colour_vote_plex,N,0.375,pdf
78,75-80,sleek,sleek,1.0,9,colour_vote_plex,N,0.375,pdf
79,75-80,sleek,sleek,0.75,8,colour_vote_plex,N,0.375,pdf
80,75-80,sleek,sleek,1.0,6,colour_vote_plex,N,0.375,pdf
81,81-90,bold,bold,1.0,7,colour_vote_plex,N,0.775,pdf
82,81-90,bold,bold,1.0,9,colour_vote_plex,N,0.775,pdf
83,81-90,bold,bold,1.0,9,colour_vote_plex,N,0.775,pdf
84,81-90,bold,bold,1.0,8,colour_vote_plex,N,0.775,pdf
85,81-90,bold,bold,1.0,9,colour_vote_plex,N,0.775,pdf
86,81-90,bold,bold,1.0,9,colour_vote_plex,N,0.775,pdf
87,81-90,bold,bold,1.0,9,colour_vote_plex,N,0.775,pdf
88,81-90,bold,bold,1.0,9,colour_vote_plex,N,0.775,pdf
89,81-90,bold,bold,1.0,6,colour_vote_plex,N,0.775,pdf
90,81-90,bold,bold,1.0,6,colour_vote_plex,N,0.775,pdf
91,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
92,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
93,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
94,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
95,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
96,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
97,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
98,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
99,91-100,sleek,sleek,1.0,6,colour_vote_plex,S,0.425,pdf
100,91-100,sleek,sleek,1.0,8,colour_vote_plex,S,0.425,pdf
101,101-110,bold,bold,1.0,8,colour_vote_plex,N,0.5,pdf
102,101-110,bold,bold,1.0,6,colour_vote_plex,N,0.5,ocr
103,101-110,bold,bold,1.0,6,colour_vote_plex,N,0.5,ocr
104,101-110,bold,bold,1.0,7,colour_vote_plex,N,0.5,ocr
105,101-110,bold,bold,1.0,7,colour_vote_plex,N,0.5,ocr
106,101-110,bold,bold,1.0,6,colour_vote_plex,N,0.5,ocr
107,101-110,bold,bold,1.0,7,colour_vote_plex,N,0.5,ocr
108,101-110,bold,bold,1.0,8,colour_vote_plex,N,0.5,ocr
109,101-110,bold,bold,1.0,6,colour_vote_plex,N,0.5,ocr
110,101-110,bold,bold,1.0,6,colour_vote_plex,N,0.5,ocr
111,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,pdf
112,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
113,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
114,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
115,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
116,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
117,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
118,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
119,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,ocr
120,111-120,sleek,sleek,1.0,6,colour_vote_plex,S,0.4,pdf
121,121-130,bold,bold,1.0,8,colour_vote_plex,N,0.8,pdf
122,121-130,bold,bold,1.0,6,colour_vote_plex,N,0.8,ocr
123,121-130,bold,bold,1.0,8,colour_vote_plex,N,0.8,ocr
124,121-130,bold,bold,1.0,8,colour_vote_plex,N,0.8,ocr
125,121-130,bold,bold,1.0,9,colour_vote_plex,N,0.8,ocr
126,121-130,bold,bold,1.0,6,colour_vote_plex,N,0.8,ocr
127,121-130,bold,bold,1.0,6,colour_vote_plex,N,0.8,ocr
128,121-130,bold,bold,1.0,6,colour_vote_plex,N,0.8,ocr
129,121-130,bold,bold,1.0,6,colour_vote_plex,N,0.8,ocr
130,121-130,bold,bold,1.0,6,colour_vote_plex,N,0.8,pdf
131,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,pdf
132,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
133,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
134,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
135,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
136,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
137,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
138,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
139,131-140,sleek,sleek,1.0,6,colour_vote_plex,S,0.45,ocr
140,131-140,sleek,sleek,1.0,7,colour_vote_plex,S,0.45,pdf
141,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,pdf
142,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,ocr
143,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,ocr
144,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,ocr
145,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,ocr
146,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,ocr
147,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,ocr
148,141-150,bold,bold,1.0,6,colour_vote_plex,E,0.375,ocr
