plex_type,th_position,facade_style,bedrooms,label,layout,bua_sqft,bua_sqm,source_page
4,1,cyrus,4,A,cyrus-a,2217.37,206.0,4
4,2,cyrus,3,A,cyrus-a,2097.03,194.82,2
4,3,cyrus,3,B,cyrus-b,2099.61,195.06,3
4,4,cyrus,4,B,cyrus-b,2247.72,208.82,5
6,1,pharo,4,A,pharo-a,2187.23,203.2,14
6,2,pharo,3,C,pharo-c,2040.19,189.54,13
6,3,pharo,3,B,pharo-b,2035.24,189.08,12
6,4,pharo,3,C,pharo-c,2036.42,189.19,13
6,5,pharo,3,B,pharo-b,2039.22,189.45,12
6,6,pharo,4,E,pharo-e,2188.95,203.36,16
8,1,elio,4,A,elio-a,2210.05,205.32,8
8,2,elio,3,A,elio-a,1864.2,173.19,6
8,3,elio,3,B,elio-b,1864.63,173.23,7
8,4,elio,3,A,elio-a,1864.85,173.25,6
8,5,elio,3,B,elio-b,1865.71,173.33,7
8,6,elio,3,A,elio-a,1890.47,175.63,6
8,7,elio,3,B,elio-b,1895.42,176.09,7
8,8,elio,4,B,elio-b,2209.83,205.3,9
10,1,pharo,4,A,pharo-a,2186.58,203.14,14
10,2,elio,3,A,elio-a,1864.2,173.19,6
10,3,elio,3,B,elio-b,1862.37,173.02,7
10,4,elio,3,A,elio-a,1897.03,176.24,6
10,5,elio,3,B,elio-b,1920.82,178.45,7
10,6,pharo,3,A,pharo-a,2089.71,194.14,10
10,7,pharo,3,B,pharo-b,2063.76,191.73,11
10,8,elio,3,A,elio-a,1891.33,175.71,6
10,9,elio,3,B,elio-b,1891.11,175.69,7
10,10,pharo,4,D,pharo-d,2189.06,203.37,15
