plex_id,range_start,range_end,plex_size,cx,cy,dx,dy,pitch
1,1,8,8,2821.80,896.84,-285.67,0.00,40.81
2,9,18,10,2420.48,898.51,-372.79,0.00,41.42
3,19,26,8,2012.60,894.03,-291.64,1.41,41.66
4,27,32,6,1689.31,907.48,-209.61,0.00,41.92
5,33,40,8,1370.05,916.75,-287.23,8.87,41.05
6,41,50,10,1030.29,1099.13,14.00,375.42,41.74
7,51,58,8,1043.70,1528.31,10.42,287.71,41.13
8,59,64,6,1056.80,1849.30,2.68,200.91,40.19
9,65,70,6,1358.46,1933.80,206.64,-6.37,41.35
10,71,74,4,1600.82,1925.32,126.81,0.00,42.27
11,75,84,10,1928.67,1918.20,374.94,0.00,41.66
12,85,88,4,2251.59,1916.26,127.78,0.27,42.59
13,89,98,10,1928.62,1705.66,-368.63,13.46,40.99
14,99,108,10,1455.81,1721.47,-372.97,5.62,41.45
15,109,114,6,1349.11,1572.20,209.96,0.00,41.99
16,115,122,8,1663.96,1562.83,288.20,-5.32,41.18
17,123,128,6,2008.88,1555.90,206.73,0.00,41.35
18,129,134,6,2009.43,1345.23,-211.42,0.00,42.28
19,135,138,4,1778.82,1298.11,0.00,-126.63,42.21
20,139,142,4,1568.53,1305.28,0.00,125.29,41.76
21,143,148,6,1345.78,1358.69,-209.03,4.25,41.81
22,149,152,4,1252.39,1178.46,0.72,-128.24,42.75
23,153,158,6,1473.50,1119.00,206.44,0.00,41.29
24,159,164,6,1871.63,1104.36,209.51,-2.38,41.90
25,165,168,4,2105.98,1157.51,0.00,126.85,42.28
26,169,172,4,2319.47,1168.62,-0.03,125.37,41.79
27,173,178,6,2313.23,1408.28,0.00,210.76,42.15
28,179,182,4,2313.96,1650.19,-0.71,127.00,42.34
29,183,192,10,2776.07,1918.23,368.63,0.00,40.96
30,193,200,8,3180.95,1922.69,292.51,0.00,41.79
31,201,210,10,3586.46,1922.69,371.69,0.00,41.30
32,211,216,6,3443.81,1716.12,-209.55,-1.59,41.91
33,217,220,4,3221.18,1664.61,0.00,-125.89,41.96
34,221,224,4,3010.71,1665.28,0.00,126.57,42.19
35,225,230,6,2778.56,1707.84,-205.56,0.00,41.11
36,231,234,4,2473.60,1650.05,0.00,-124.30,41.43
37,235,238,4,2687.32,1518.09,0.00,-125.23,41.74
38,239,244,6,2480.25,1406.29,0.00,-199.86,39.97
39,245,248,4,2480.25,1167.45,0.03,-126.03,42.01
40,249,258,10,2863.11,1111.89,377.45,0.00,41.94
41,259,262,4,3209.92,1117.89,123.56,0.00,41.19
42,263,268,6,3448.49,1117.89,207.31,0.00,41.46
43,269,274,6,3446.19,1265.37,-207.00,0.00,41.40
44,275,278,4,3208.07,1261.37,-124.16,0.00,41.39
45,279,288,10,2862.85,1258.83,-374.97,-5.79,41.67
46,289,294,6,2918.15,1469.83,205.38,0.00,41.08
47,295,300,6,3310.87,1471.83,204.97,0.00,40.99
48,301,304,4,3539.51,1524.22,0.00,123.04,41.01
49,305,308,4,3746.35,1654.40,0.00,-124.57,41.52
50,309,314,6,3746.87,1413.38,0.00,-214.89,42.98
51,315,318,4,3748.76,1169.42,0.00,-123.52,41.17
52,319,324,6,3596.03,911.44,-205.77,0.00,41.15
53,325,330,6,3313.98,911.44,-206.07,0.00,41.21
