unit_number,plot_number,facade_style,bedrooms,layout,bua,plex_range,plex_size,street_side,th_position
1,1,elio,4,elio-b,2209.83,1-8,8,down,TH08
2,2,elio,3,elio-b,1895.42,1-8,8,down,TH07
3,3,elio,3,elio-a,1890.47,1-8,8,down,TH06
4,4,elio,3,elio-b,1865.71,1-8,8,down,TH05
5,5,elio,3,elio-a,1864.85,1-8,8,down,TH04
6,6,elio,3,elio-b,1864.63,1-8,8,down,TH03
7,7,elio,3,elio-a,1864.2,1-8,8,down,TH02
8,8,elio,4,elio-a,2210.05,1-8,8,down,TH01
9,9,pharo,4,pharo-d,2189.06,9-18,10,down,TH10
10,10,elio,3,elio-b,1891.11,9-18,10,down,TH09
11,11,elio,3,elio-a,1891.33,9-18,10,down,TH08
12,12,pharo,3,pharo-b,2063.76,9-18,10,down,TH07
13,13,pharo,3,pharo-a,2089.71,9-18,10,down,TH06
14,14,elio,3,elio-b,1920.82,9-18,10,down,TH05
15,15,elio,3,elio-a,1897.03,9-18,10,down,TH04
16,16,elio,3,elio-b,1862.37,9-18,10,down,TH03
17,17,elio,3,elio-a,1864.2,9-18,10,down,TH02
18,18,pharo,4,pharo-a,2186.58,9-18,10,down,TH01
19,19,elio,4,elio-b,2209.83,19-26,8,down,TH08
20,20,elio,3,elio-b,1895.42,19-26,8,down,TH07
21,21,elio,3,elio-a,1890.47,19-26,8,down,TH06
22,22,elio,3,elio-b,1865.71,19-26,8,down,TH05
23,23,elio,3,elio-a,1864.85,19-26,8,down,TH04
24,24,elio,3,elio-b,1864.63,19-26,8,down,TH03
25,25,elio,3,elio-a,1864.2,19-26,8,down,TH02
26,26,elio,4,elio-a,2210.05,19-26,8,down,TH01
27,27,pharo,4,pharo-e,2188.95,27-32,6,down,TH06
28,28,pharo,3,pharo-b,2039.22,27-32,6,down,TH05
29,29,pharo,3,pharo-c,2036.42,27-32,6,down,TH04
30,30,pharo,3,pharo-b,2035.24,27-32,6,down,TH03
31,31,pharo,3,pharo-c,2040.19,27-32,6,down,TH02
32,32,pharo,4,pharo-a,2187.23,27-32,6,down,TH01
33,33,elio,4,elio-b,2209.83,33-40,8,down,TH08
34,34,elio,3,elio-b,1895.42,33-40,8,down,TH07
35,35,elio,3,elio-a,1890.47,33-40,8,down,TH06
36,36,elio,3,elio-b,1865.71,33-40,8,down,TH05
37,37,elio,3,elio-a,1864.85,33-40,8,down,TH04
38,38,elio,3,elio-b,1864.63,33-40,8,down,TH03
39,39,elio,3,elio-a,1864.2,33-40,8,down,TH02
40,40,elio,4,elio-a,2210.05,33-40,8,down,TH01
41,41,pharo,4,pharo-d,2189.06,41-50,10,right,TH10
42,42,elio,3,elio-b,1891.11,41-50,10,right,TH09
