unit_number,plot_number,facade_style,bedrooms,layout,bua,plex_range,plex_size,street_side,th_position
8,8,spruce,4,spruce-a,2322.52,1-8,8,down,TH01
7,7,spruce,3,spruce-a,1937.39,1-8,8,down,TH02
6,6,spruce,3,spruce-b,1988.41,1-8,8,down,TH03
5,5,spruce,3,spruce-a,1929.75,1-8,8,down,TH04
4,4,spruce,3,spruce-b,1988.41,1-8,8,down,TH05
3,3,spruce,3,spruce-a,1929.75,1-8,8,down,TH06
2,2,spruce,3,spruce-b,1996.81,1-8,8,down,TH07
1,1,spruce,4,spruce-b,2325.32,1-8,8,down,TH08
16,16,spruce,4,spruce-a,2322.52,9-16,8,down,TH01
15,15,spruce,3,spruce-a,1937.39,9-16,8,down,TH02
14,14,spruce,3,spruce-b,1988.41,9-16,8,down,TH03
13,13,spruce,3,spruce-a,1929.75,9-16,8,down,TH04
12,12,spruce,3,spruce-b,1988.41,9-16,8,down,TH05
11,11,spruce,3,spruce-a,1929.75,9-16,8,down,TH06
10,10,spruce,3,spruce-b,1996.81,9-16,8,down,TH07
9,9,spruce,4,spruce-b,2325.32,9-16,8,down,TH08
24,24,spruce,4,spruce-a,2322.52,17-24,8,down,TH01
23,23,spruce,3,spruce-a,1937.39,17-24,8,down,TH02
22,22,spruce,3,spruce-b,1988.41,17-24,8,down,TH03
21,21,spruce,3,spruce-a,1929.75,17-24,8,down,TH04
20,20,spruce,3,spruce-b,1988.41,17-24,8,down,TH05
19,19,spruce,3,spruce-a,1929.75,17-24,8,down,TH06
18,18,spruce,3,spruce-b,1996.81,17-24,8,down,TH07
17,17,spruce,4,spruce-b,2325.32,17-24,8,down,TH08
32,32,spruce,4,spruce-a,2322.52,25-32,8,right,TH01
31,31,spruce,3,spruce-a,1937.39,25-32,8,right,TH02
30,30,spruce,3,spruce-b,1988.41,25-32,8,right,TH03
29,29,spruce,3,spruce-a,1929.75,25-32,8,right,TH04
28,28,spruce,3,spruce-b,1988.41,25-32,8,right,TH05
27,27,spruce,3,spruce-a,1929.75,25-32,8,right,TH06
26,26,spruce,3,spruce-b,1996.81,25-32,8,right,TH07
25,25,spruce,4,spruce-b,2325.32,25-32,8,right,TH08
58,58,spruce,4,spruce-a,2322.52,51-58,8,left,TH01
57,57,spruce,3,spruce-a,1937.39,51-58,8,left,TH02
56,56,spruce,3,spruce-b,1988.41,51-58,8,left,TH03
55,55,spruce,3,spruce-a,1929.75,51-58,8,left,TH04
54,54,spruce,3,spruce-b,1988.41,51-58,8,left,TH05
53,53,spruce,3,spruce-a,1929.75,51-58,8,left,TH06
52,52,spruce,3,spruce-b,1996.81,51-58,8,left,TH07
51,51,spruce,4,spruce-b,2325.32,51-58,8,left,TH08
86,86,spruce,4,spruce-a,2322.52,79-86,8,right,TH01
85,85,spruce,3,spruce-a,1937.39,79-86,8,right,TH02
84,84,spruce,3,spruce-b,1988.41,79-86,8,right,TH03
83,83,spruce,3,spruce-a,1929.75,79-86,8,right,TH04
82,82,spruce,3,spruce-b,1988.41,79-86,8,right,TH05
81,81,spruce,3,spruce-a,1929.75,79-86,8,right,TH06
80,80,spruce,3,spruce-b,1996.81,79-86,8,right,TH07
79,79,spruce,4,spruce-b,2325.32,79-86,8,right,TH08
94,94,spruce,4,spruce-a,2322.52,87-94,8,up,TH01
93,93,spruce,3,spruce-a,1937.39,87-94,8,up,TH02
92,92,spruce,3,spruce-b,1988.41,87-94,8,up,TH03
91,91,spruce,3,spruce-a,1929.75,87-94,8,up,TH04
