plex_range,size,street_side,composition
1-8,8,up,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
9-16,8,up,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
17-22,6,up,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
23-30,8,up,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
31-36,6,left,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
37-40,4,left,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
41-48,8,left,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
49-54,6,right,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
55-58,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
59-66,8,left,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
67-74,8,left,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
75-78,4,left,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
79-84,6,left,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
85-92,8,right,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
93-96,4,left,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
97-102,6,right,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
103-110,8,left,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
111-114,4,right,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
115-120,6,left,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
121-124,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
125-128,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
129-132,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
133-136,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
137-144,8,left,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
145-148,4,left,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
149-152,4,left,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
153-158,6,down,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
159-166,8,down,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
167-174,8,up,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
175-182,8,down,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
183-186,4,up,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
187-190,4,up,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
191-194,4,down,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
195-198,4,down,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
199-202,4,up,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
203-206,4,up,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
207-212,6,left,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M4B
213-218,6,left,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
219-222,4,right,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
223-226,4,right,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
227-234,8,right,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
235-238,4,left,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
239-242,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
243-250,8,left,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
251-258,8,left,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
259-266,8,right,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
267-270,4,left,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
271-274,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
275-282,8,left,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
283-286,4,right,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
287-290,4,right,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
291-298,8,right,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
299-302,4,left,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
303-306,4,left,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
307-314,8,left,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
315-318,4,right,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
319-322,4,right,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
323-330,8,right,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
331-334,4,left,TH01:M4A TH02:M3A TH03:M3B TH04:M4B
335-338,4,right,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
339-346,8,left,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
347-354,8,down,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
355-362,8,down,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
363-368,6,down,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
369-376,8,down,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
377-382,6,right,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
383-388,6,right,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
389-396,8,right,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
397-404,8,down,TH01:M4A TH02:M3A TH03:M3B TH04:M3A TH05:M3B TH06:M3A TH07:M3B TH08:M4B
405-410,6,up,TH06:M4B TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
411-418,8,up,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
419-422,4,up,TH04:M4B TH03:M3B TH02:M3A TH01:M4A
423-430,8,up,TH08:M4B TH07:M3B TH06:M3A TH05:M3B TH04:M3A TH03:M3B TH02:M3A TH01:M4A
