plot_number,plex_range,street_side,orientation_margin,array_key,style_vote,style_conf,th_position,layout,bua
1,1-8,up,0.8563,8,mysk,0.6667,TH08,moon-b,2607.99
2,1-8,up,0.8563,8,mysk,0.6667,TH07,mysk-b,2111.45
3,1-8,up,0.8563,8,mysk,0.6667,TH06,mysk-a,2094.65
4,1-8,up,0.8563,8,mysk,0.6667,TH05,mysk-b,2094.76
5,1-8,up,0.8563,8,mysk,0.6667,TH04,mysk-a,2094.76
6,1-8,up,0.8563,8,mysk,0.6667,TH03,mysk-b,2094.98
7,1-8,up,0.8563,8,mysk,0.6667,TH02,mysk-a,2111.45
8,1-8,up,0.8563,8,mysk,0.6667,TH01,moon-a,2607.99
9,9-16,up,0.8692,8,mysk,0.75,TH08,moon-b,2607.99
10,9-16,up,0.8692,8,mysk,0.75,TH07,mysk-b,2111.45
11,9-16,up,0.8692,8,mysk,0.75,TH06,mysk-a,2094.65
12,9-16,up,0.8692,8,mysk,0.75,TH05,mysk-b,2094.76
13,9-16,up,0.8692,8,mysk,0.75,TH04,mysk-a,2094.76
14,9-16,up,0.8692,8,mysk,0.75,TH03,mysk-b,2094.98
15,9-16,up,0.8692,8,mysk,0.75,TH02,mysk-a,2111.45
16,9-16,up,0.8692,8,mysk,0.75,TH01,moon-a,2607.99
17,17-22,up,0.9037,6,mysk,0.6667,TH06,moon-b,2607.99
18,17-22,up,0.9037,6,mysk,0.6667,TH05,mysk-b,2111.55
19,17-22,up,0.9037,6,mysk,0.6667,TH04,mysk-a,2094.76
20,17-22,up,0.9037,6,mysk,0.6667,TH03,mysk-b,2094.98
21,17-22,up,0.9037,6,mysk,0.6667,TH02,mysk-a,2111.55
22,17-22,up,0.9037,6,mysk,0.6667,TH01,moon-a,2607.99
23,23-30,up,0.9147,8,mysk,0.75,TH08,moon-b,2607.99
24,23-30,up,0.9147,8,mysk,0.75,TH07,mysk-b,2111.45
25,23-30,up,0.9147,8,mysk,0.75,TH06,mysk-a,2094.65
26,23-30,up,0.9147,8,mysk,0.75,TH05,mysk-b,2094.76
27,23-30,up,0.9147,8,mysk,0.75,TH04,mysk-a,2094.76
28,23-30,up,0.9147,8,mysk,0.75,TH03,mysk-b,2094.98
29,23-30,up,0.9147,8,mysk,0.75,TH02,mysk-a,2111.45
30,23-30,up,0.9147,8,mysk,0.75,TH01,moon-a,2607.99
31,31-36,left,0.9166,6,mysk,0.8,TH06,moon-b,2607.99
32,31-36,left,0.9166,6,mysk,0.8,TH05,mysk-b,2111.55
33,31-36,left,0.9166,6,mysk,0.8,TH04,mysk-a,2094.76
34,31-36,left,0.9166,6,mysk,0.8,TH03,mysk-b,2094.98
35,31-36,left,0.9166,6,mysk,0.8,TH02,mysk-a,2111.55
36,31-36,left,0.9166,6,mysk,0.8,TH01,moon-a,2607.99
37,37-40,left,0.6276,4-1,moon,1.0,TH04,moon-b,2607.99
38,37-40,left,0.6276,4-1,moon,1.0,TH03,moon-b,2179.8
39,37-40,left,0.6276,4-1,moon,1.0,TH02,moon-a,2179.8
40,37-40,left,0.6276,4-1,moon,1.0,TH01,moon-a,2607.99
41,41-48,left,0.8825,8,mysk,0.75,TH08,moon-b,2607.99
42,41-48,left,0.8825,8,mysk,0.75,TH07,mysk-b,2111.45
43,41-48,left,0.8825,8,mysk,0.75,TH06,mysk-a,2094.65
44,41-48,left,0.8825,8,mysk,0.75,TH05,mysk-b,2094.76
45,41-48,left,0.8825,8,mysk,0.75,TH04,mysk-a,2094.76
46,41-48,left,0.8825,8,mysk,0.75,TH03,mysk-b,2094.98
47,41-48,left,0.8825,8,mysk,0.75,TH02,mysk-a,2111.45
48,41-48,left,0.8825,8,mysk,0.75,TH01,moon-a,2607.99
49,49-54,right,0.9026,6,mysk,0.6667,TH06,moon-b,2607.99
50,49-54,right,0.9026,6,mysk,0.6667,TH05,mysk-b,2111.55
51,49-54,right,0.9026,6,mysk,0.6667,TH04,mysk-a,2094.76
52,49-54,right,0.9026,6,mysk,0.6667,TH03,mysk-b,2094.98
53,49-54,right,0.9026,6,mysk,0.6667,TH02,mysk-a,2111.55
54,49-54,right,0.9026,6,mysk,0.6667,TH01,moon-a,2607.99
55,55-58,right,0.6239,4-1,moon,1.0,TH04,moon-b,2607.99
56,55-58,right,0.6239,4-1,moon,1.0,TH03,moon-b,2179.8
57,55-58,right,0.6239,4-1,moon,1.0,TH02,moon-a,2179.8
58,55-58,right,0.6239,4-1,moon,1.0,TH01,moon-a,2607.99
59,59-66,left,0.8967,8,moon,1.0,TH01,moon-a,2607.99
60,59-66,left,0.8967,8,moon,1.0,TH02,mysk-a,2111.45
61,59-66,left,0.8967,8,moon,1.0,TH03,mysk-b,2094.98
62,59-66,left,0.8967,8,moon,1.0,TH04,mysk-a,2094.76
63,59-66,left,0.8967,8,moon,1.0,TH05,mysk-b,2094.76
64,59-66,left,0.8967,8,moon,1.0,TH06,mysk-a,2094.65
65,59-66,left,0.8967,8,moon,1.0,TH07,mysk-b,2111.45
66,59-66,left,0.8967,8,moon,1.0,TH08,moon-b,2607.99
67,67-74,left,0.879,8,mysk,0.6667,TH08,moon-b,2607.99
68,67-74,left,0.879,8,mysk,0.6667,TH07,mysk-b,2111.45
69,67-74,left,0.879,8,mysk,0.6667,TH06,mysk-a,2094.65
70,67-74,left,0.879,8,mysk,0.6667,TH05,mysk-b,2094.76
71,67-74,left,0.879,8,mysk,0.6667,TH04,mysk-a,2094.76
72,67-74,left,0.879,8,mysk,0.6667,TH03,mysk-b,2094.98
73,67-74,left,0.879,8,mysk,0.6667,TH02,mysk-a,2111.45
74,67-74,left,0.879,8,mysk,0.6667,TH01,moon-a,2607.99
75,75-78,left,0.8129,4-2,mysk,1.0,TH04,mysk-b,2586.13
