plot_number,unit_number,facade_style,bedrooms,layout,label,bua,bathrooms,maids_room,ground_floor_bedroom,plex_range,plex_size,street_side,th_position,orientation_margin,style_vote_frac,style_source
1,1,jade,4,jade-a,A,2976.11,4.0,True,True,1-8,8,down,8,0.344,1.0,plex_vote
2,2,jade,3,jade-a,A,2158.38,3.5,True,False,1-8,8,down,7,0.344,1.0,plex_vote
3,3,jade,3,jade-a,A,2149.77,3.5,True,False,1-8,8,down,6,0.344,1.0,plex_vote
4,4,jade,3,jade-a,A,2150.2,3.5,True,False,1-8,8,down,5,0.344,1.0,plex_vote
5,5,jade,3,jade-a,A,2150.2,3.5,True,False,1-8,8,down,4,0.344,1.0,plex_vote
6,6,jade,3,jade-a,A,2149.77,3.5,True,False,1-8,8,down,3,0.344,1.0,plex_vote
7,7,jade,3,jade-a,A,2158.38,3.5,True,False,1-8,8,down,2,0.344,1.0,plex_vote
8,8,jade,4,jade-a,A,2976.11,4.0,True,True,1-8,8,down,1,0.344,1.0,plex_vote
9,9,pearl,4,pearl-b,B,2777.09,4.0,True,True,9-14,6,down,6,0.333,1.0,plex_vote
10,10,pearl,3,pearl-b,B,2190.35,3.5,True,False,9-14,6,down,5,0.333,1.0,plex_vote
11,11,pearl,3,pearl-b,B,2181.73,3.5,True,False,9-14,6,down,4,0.333,1.0,plex_vote
12,12,pearl,3,pearl-b,B,2181.73,3.5,True,False,9-14,6,down,3,0.333,1.0,plex_vote
13,13,pearl,3,pearl-b,B,2190.35,3.5,True,False,9-14,6,down,2,0.333,1.0,plex_vote
14,14,pearl,4,pearl-b,B,2777.09,4.0,True,True,9-14,6,down,1,0.333,1.0,plex_vote
15,15,jade,4,jade-a,A,2973.42,4.0,True,True,15-20,6,down,6,0.417,1.0,plex_vote
16,16,jade,3,jade-a,A,2158.48,3.5,True,False,15-20,6,down,5,0.417,1.0,plex_vote
17,17,jade,3,jade-a,A,2149.98,3.5,True,False,15-20,6,down,4,0.417,1.0,plex_vote
18,18,jade,3,jade-a,A,2149.98,3.5,True,False,15-20,6,down,3,0.417,1.0,plex_vote
19,19,jade,3,jade-a,A,2158.48,3.5,True,False,15-20,6,down,2,0.417,1.0,plex_vote
20,20,jade,4,jade-a,A,2973.42,4.0,True,True,15-20,6,down,1,0.417,1.0,plex_vote
21,21,pearl,4,pearl-b,B,2779.78,4.0,True,True,21-28,8,down,8,0.312,1.0,plex_vote
22,22,pearl,3,pearl-b,B,2190.24,3.5,True,False,21-28,8,down,7,0.312,1.0,plex_vote
23,23,pearl,3,pearl-b,B,2181.84,3.5,True,False,21-28,8,down,6,0.312,1.0,plex_vote
24,24,pearl,3,pearl-b,B,2181.84,3.5,True,False,21-28,8,down,5,0.312,1.0,plex_vote
25,25,pearl,3,pearl-b,B,2181.84,3.5,True,False,21-28,8,down,4,0.312,1.0,plex_vote
26,26,pearl,3,pearl-b,B,2181.84,3.5,True,False,21-28,8,down,3,0.312,1.0,plex_vote
27,27,pearl,3,pearl-b,B,2190.24,3.5,True,False,21-28,8,down,2,0.312,1.0,plex_vote
28,28,pearl,4,pearl-b,B,2779.78,4.0,True,True,21-28,8,down,1,0.312,1.0,plex_vote
