plot_number,style_source,orientation_margin,bua_sqm
1,key_plan,0.804,203.23
2,key_plan,0.804,190.11
3,key_plan,0.804,190.04
4,key_plan,0.804,190.01
5,key_plan,0.804,190.35
6,key_plan,0.804,202.95
7,key_plan,0.667,203.11
8,key_plan,0.667,175.72
9,key_plan,0.667,175.68
10,key_plan,0.667,191.64
11,key_plan,0.667,194.03
12,key_plan,0.667,178.57
13,key_plan,0.667,176.28
14,key_plan,0.667,176.18
15,key_plan,0.667,175.6
16,key_plan,0.667,203.11
17,key_plan,0.725,205.58
18,key_plan,0.725,173.22
19,key_plan,0.725,173.42
20,key_plan,0.725,173.52
21,key_plan,0.725,173.52
22,key_plan,0.725,173.5
23,key_plan,0.725,173.34
24,key_plan,0.725,205.46
25,colour,0.686,198.88
26,colour,0.686,187.98
27,colour,0.686,174.72
28,colour,0.686,174.73
29,colour,0.686,201.46
30,colour,0.725,201.47
31,colour,0.725,174.77
32,colour,0.725,174.77
33,colour,0.725,187.97
34,colour,0.725,198.8
35,key_plan,0.843,205.58
36,key_plan,0.843,173.22
37,key_plan,0.843,173.42
38,key_plan,0.843,173.52
39,key_plan,0.843,173.52
40,key_plan,0.843,173.5
41,key_plan,0.843,173.34
42,key_plan,0.843,205.46
43,key_plan,0.706,209.02
44,key_plan,0.706,195.09
45,key_plan,0.706,194.88
46,key_plan,0.706,206.06
47,key_plan,0.745,209.02
48,key_plan,0.745,195.09
49,key_plan,0.745,194.88
50,key_plan,0.745,206.06
51,key_plan,0.745,209.02
52,key_plan,0.745,195.09
53,key_plan,0.745,194.88
54,key_plan,0.745,206.06
55,key_plan,0.765,209.02
56,key_plan,0.765,195.09
57,key_plan,0.765,194.88
58,key_plan,0.765,206.06
59,colour,0.706,201.47
60,colour,0.706,174.77
61,colour,0.706,174.77
62,colour,0.706,187.97
63,colour,0.706,198.8
64,key_plan,0.784,209.02
65,key_plan,0.784,195.09
66,key_plan,0.784,194.88
67,key_plan,0.784,206.06
68,key_plan,0.824,209.02
69,key_plan,0.824,195.09
70,key_plan,0.824,194.88
71,key_plan,0.824,206.06
72,key_plan,0.804,203.23
73,key_plan,0.804,190.11
74,key_plan,0.804,190.04
75,key_plan,0.804,190.01
76,key_plan,0.804,190.35
77,key_plan,0.804,202.95
78,key_plan,0.765,203.23
79,key_plan,0.765,190.11
80,key_plan,0.765,190.04
81,key_plan,0.765,190.01
82,key_plan,0.765,190.35
83,key_plan,0.765,202.95
84,key_plan,0.725,209.02
85,key_plan,0.725,195.09
86,key_plan,0.725,194.88
87,key_plan,0.725,206.06
88,key_plan,0.745,203.11
89,key_plan,0.745,175.72
90,key_plan,0.745,175.68
91,key_plan,0.745,191.64
92,key_plan,0.745,194.03
93,key_plan,0.745,178.57
