plot_number,cx,cy,method
1,2965.85,896.84,word
2,2922.88,896.84,word
3,2881.88,896.84,word
4,2841.37,896.84,word
5,2801.27,896.84,word
6,2761.25,896.84,word
7,2719.72,896.84,word
8,2680.18,896.84,word
9,2606.42,898.51,word
10,2564.22,898.51,word
11,2523.34,898.51,word
12,2482.47,898.51,word
13,2441.59,898.51,word
14,2399.81,898.51,word
15,2358.71,898.51,word
16,2318.30,898.51,word
17,2276.30,898.51,word
18,2233.63,898.51,word
19,2159.84,892.79,word
20,2112.61,894.21,word
21,2072.92,894.21,word
22,2030.75,894.21,word
23,1993.02,894.21,word
24,1951.28,894.21,word
25,1912.21,894.21,word
26,1868.21,894.21,word
27,1793.97,907.48,word
28,1749.89,907.48,word
29,1710.07,907.48,word
30,1670.24,907.48,word
31,1627.34,907.48,word
32,1584.35,907.48,word
33,1514.42,912.53,word
34,1467.65,912.53,word
35,1431.61,912.53,word
36,1388.92,916.08,word
37,1350.22,918.92,word
38,1308.04,919.63,word
39,1272.36,920.34,word
40,1227.18,921.40,word
41,1023.13,911.56,word
42,1025.98,955.89,word
43,1025.98,998.01,word
44,1027.64,1036.14,word
45,1030.48,1079.83,word
46,1033.14,1119.53,word
47,1033.14,1161.22,word
48,1033.14,1199.58,word
49,1033.14,1242.61,word
50,1037.14,1286.98,word
51,1041.14,1385.00,word
52,1041.14,1423.36,word
53,1041.14,1466.21,word
54,1041.14,1509.05,word
55,1043.98,1548.55,word
56,1044.68,1590.28,word
57,1044.85,1631.31,word
58,1051.55,1672.71,word
59,1055.55,1747.32,word
60,1055.00,1791.48,word
61,1058.23,1826.37,word
62,1055.57,1872.43,word
63,1058.23,1909.96,word
64,1058.23,1948.23,word
65,1253.67,1937.69,word
66,1298.66,1936.28,word
67,1338.13,1934.87,word
68,1379.59,1931.32,word
69,1420.39,1931.32,word
70,1460.31,1931.32,word
71,1537.28,1925.32,word
72,1580.43,1925.32,word
73,1621.50,1925.32,word
74,1664.09,1925.32,word
75,1741.71,1918.20,word
76,1785.59,1918.20,word
77,1823.19,1918.20,word
78,1868.83,1918.20,word
79,1906.39,1918.20,word
80,1947.19,1918.20,word
81,1988.29,1918.20,word
82,2032.56,1918.20,word
83,2076.36,1918.20,word
84,2116.65,1918.20,word
85,2188.45,1916.20,word
86,2230.26,1916.20,word
87,2271.40,1916.20,word
88,2316.23,1916.47,word
89,2114.33,1699.05,word
90,2071.53,1701.21,word
91,2031.04,1702.63,word
92,1988.56,1702.63,word
93,1949.17,1704.04,word
94,1906.77,1705.45,word
95,1867.79,1707.57,word
96,1826.39,1709.69,word
97,1784.98,1711.81,word
98,1745.70,1712.51,word
99,1641.67,1715.20,word
100,1600.85,1716.47,word
101,1558.83,1718.58,word
102,1516.81,1718.19,word
103,1474.79,1721.04,word
104,1434.20,1727.04,word
105,1393.61,1721.04,word
106,1356.16,1727.04,word
107,1312.43,1729.27,word
108,1268.70,1720.82,word
109,1242.60,1571.67,word
110,1284.51,1571.94,word
111,1332.02,1571.67,word
112,1372.19,1574.60,word
113,1410.81,1571.67,word
114,1452.56,1571.67,word
115,1526.76,1566.15,word
116,1561.75,1566.15,word
117,1601.36,1566.15,word
118,1641.14,1560.83,word
119,1681.63,1560.83,word
120,1721.45,1560.83,word
121,1762.60,1560.83,word
122,1814.96,1560.83,word
123,1906.86,1555.90,word
124,1947.75,1555.90,word
125,1988.16,1555.90,word
126,2028.36,1555.90,word
127,2068.56,1555.90,word
128,2113.59,1555.90,word
129,2116.16,1345.23,word
130,2071.30,1345.23,word
131,2029.01,1345.23,word
132,1988.13,1345.23,word
133,1947.26,1345.23,word
134,1904.74,1345.23,word
135,1778.82,1360.07,word
136,1778.82,1319.66,word
137,1778.82,1279.25,word
138,1778.82,1233.44,word
139,1568.53,1241.89,word
140,1568.53,1288.40,word
141,1568.53,1323.64,word
142,1568.53,1367.18,word
143,1450.03,1356.09,word
144,1406.01,1358.93,word
145,1366.22,1358.93,word
146,1326.09,1358.93,word
147,1285.29,1358.93,word
148,1241.00,1360.34,word
149,1250.79,1241.86,word
150,1253.63,1201.74,word
151,1253.63,1156.63,word
152,1251.51,1113.62,word
153,1369.95,1119.00,word
154,1414.55,1119.00,word
155,1453.25,1119.00,word
156,1493.28,1119.00,word
157,1533.55,1119.00,word
158,1576.39,1119.00,word
159,1767.38,1104.75,word
160,1811.83,1104.75,word
161,1851.28,1104.75,word
162,1890.73,1104.75,word
163,1931.68,1104.75,word
164,1976.89,1102.38,word
165,2105.98,1092.50,word
166,2105.98,1139.01,word
167,2105.98,1179.18,word
168,2105.98,1219.35,word
169,2319.49,1106.96,word
170,2319.46,1147.51,word
171,2319.46,1187.68,word
172,2319.46,1232.33,word
173,2312.77,1304.97,word
174,2312.77,1340.62,word
175,2314.14,1387.57,word
176,2314.14,1429.62,word
177,2312.77,1471.18,word
178,2312.77,1515.73,word
179,2314.14,1583.77,word
180,2314.14,1631.76,word
181,2314.14,1674.47,word
182,2313.43,1710.78,word
183,2591.26,1918.23,word
184,2632.55,1918.23,word
185,2672.63,1918.23,word
186,2714.14,1918.23,word
187,2752.81,1918.23,word
188,2794.63,1918.23,word
189,2841.40,1918.23,word
190,2880.92,1918.23,word
191,2920.45,1918.23,word
192,2959.88,1918.23,word
193,3033.98,1922.69,word
194,3075.64,1922.69,word
195,3117.30,1922.69,word
196,3158.87,1922.69,word
197,3200.44,1922.69,word
198,3247.04,1922.69,word
199,3287.83,1922.69,word
200,3326.49,1922.69,word
201,3401.59,1922.69,word
202,3442.40,1922.69,word
203,3480.39,1922.69,word
204,3521.83,1922.69,word
205,3566.85,1922.69,word
206,3607.34,1922.69,word
207,3650.48,1922.69,word
208,3690.31,1922.69,word
209,3730.13,1922.69,word
210,3773.28,1922.69,word
211,3549.97,1717.45,word
212,3504.57,1715.86,word
213,3462.95,1715.86,word
214,3423.61,1715.86,word
215,3381.35,1715.86,word
216,3340.41,1715.86,word
217,3221.18,1727.64,word
218,3221.18,1685.91,word
219,3221.18,1643.12,word
220,3221.18,1601.75,word
221,3010.71,1601.09,word
222,3010.71,1646.46,word
223,3010.71,1685.93,word
224,3010.71,1727.66,word
225,2881.36,1707.84,word
226,2838.75,1707.84,word
227,2799.95,1707.84,word
228,2758.49,1707.84,word
229,2717.03,1707.84,word
230,2675.80,1707.84,word
231,2473.60,1711.12,word
232,2473.60,1671.15,word
233,2473.60,1631.10,word
234,2473.60,1586.82,word
235,2687.32,1580.36,word
236,2687.32,1538.97,word
237,2687.32,1497.90,word
238,2687.32,1455.13,word
239,2480.25,1503.51,word
240,2480.25,1468.40,word
241,2480.25,1429.00,word
242,2480.25,1387.61,word
243,2480.25,1345.58,word
244,2480.25,1303.65,word
245,2480.25,1230.33,word
246,2480.25,1187.68,word
247,2480.25,1147.51,word
248,2480.28,1104.30,word
249,2676.92,1111.89,word
250,2719.37,1111.89,word
251,2761.93,1111.89,word
252,2801.40,1111.89,word
253,2840.86,1111.89,word
254,2883.54,1111.89,word
255,2923.74,1111.89,word
256,2963.99,1111.89,word
257,3005.01,1111.89,word
258,3054.37,1111.89,word
259,3147.70,1117.89,word
260,3189.48,1117.89,word
261,3231.26,1117.89,word
262,3271.26,1117.89,word
263,3345.30,1117.89,word
264,3387.23,1117.89,word
265,3427.91,1117.89,word
266,3468.59,1117.89,word
267,3509.27,1117.89,word
268,3552.62,1117.89,word
269,3550.89,1265.37,word
270,3506.61,1265.37,word
271,3465.93,1265.37,word
272,3425.25,1265.37,word
273,3384.57,1265.37,word
274,3343.89,1265.37,word
275,3269.86,1261.37,word
276,3229.26,1261.37,word
277,3187.48,1261.37,word
278,3145.70,1261.37,word
279,3050.82,1264.03,word
280,3005.70,1258.25,word
281,2966.00,1258.25,word
282,2924.42,1258.25,word
283,2883.54,1258.25,word
284,2842.66,1258.25,word
285,2802.49,1258.25,word
286,2756.93,1258.25,word
287,2720.05,1258.25,word
288,2675.85,1258.25,word
289,2815.96,1469.83,word
290,2856.33,1469.83,word
291,2899.03,1469.83,word
292,2938.56,1469.83,word
293,2977.65,1469.83,word
294,3021.34,1469.83,word
295,3207.40,1471.83,word
296,3248.87,1471.83,word
297,3290.92,1471.83,word
298,3332.97,1471.83,word
299,3372.69,1471.83,word
300,3412.37,1471.83,word
301,3539.51,1462.24,word
302,3539.51,1504.27,word
303,3539.51,1545.07,word
304,3539.51,1585.27,word
305,3746.35,1715.84,word
306,3746.35,1676.03,word
307,3746.35,1634.45,word
308,3746.35,1591.27,word
309,3746.87,1520.30,word
310,3746.87,1477.17,word
311,3746.87,1434.04,word
312,3746.87,1390.90,word
313,3746.87,1352.49,word
314,3746.87,1305.41,word
315,3748.76,1230.98,word
316,3748.76,1189.89,word
317,3748.76,1149.37,word
318,3748.76,1107.46,word
319,3697.56,911.45,word
320,3658.03,911.43,word
321,3617.91,911.43,word
322,3577.78,911.43,word
323,3533.10,911.43,word
324,3491.79,911.45,word
325,3417.07,911.45,word
326,3374.95,911.43,word
327,3334.69,911.43,word
328,3292.85,911.43,word
329,3253.32,911.43,word
330,3211.00,911.45,word
