plex_id,range_start,range_end,plex_size,street_side,th01_plot,flipped,margin,score_pos,score_neg
1,1,8,8,bottom,8,True,0.8,1.0,0.2
2,9,18,10,bottom,18,True,0.6842,1.0,0.3158
3,19,26,8,bottom,26,True,0.6667,1.0,0.3333
4,27,32,6,bottom,32,True,0.8182,1.0,0.1818
5,33,40,8,bottom,40,True,0.8,1.0,0.2
6,41,50,10,right,50,True,0.6842,1.0,0.3158
7,51,58,8,right,58,True,0.8,1.0,0.2
8,59,64,6,right,64,True,0.8182,1.0,0.1818
9,65,70,6,top,70,True,0.8182,1.0,0.1818
10,71,74,4,top,74,True,0.8571,1.0,0.1429
11,75,84,10,top,84,True,0.7895,1.0,0.2105
12,85,88,4,top,88,True,0.8571,1.0,0.1429
13,89,98,10,bottom,98,True,0.6316,1.0,0.3684
14,99,108,10,bottom,108,True,0.7895,1.0,0.2105
15,109,114,6,top,114,True,0.8182,1.0,0.1818
16,115,122,8,top,122,True,0.7333,1.0,0.2667
17,123,128,6,top,128,True,0.8182,1.0,0.1818
18,129,134,6,bottom,134,True,0.6364,1.0,0.3636
19,135,138,4,left,138,True,0.7143,1.0,0.2857
20,139,142,4,right,142,True,0.8571,1.0,0.1429
21,143,148,6,bottom,148,True,0.8182,1.0,0.1818
22,149,152,4,left,152,True,0.8571,1.0,0.1429
23,153,158,6,top,158,True,0.8182,1.0,0.1818
24,159,164,6,top,164,True,0.8182,1.0,0.1818
25,165,168,4,right,168,True,0.8571,1.0,0.1429
26,169,172,4,left,169,False,0.8571,0.1429,1.0
27,173,178,6,left,173,False,0.8182,0.1818,1.0
28,179,182,4,left,179,False,0.8571,0.1429,1.0
29,183,192,10,top,192,True,0.7368,1.0,0.2632
30,193,200,8,top,200,True,0.8,1.0,0.2
31,201,210,10,top,210,True,0.7895,1.0,0.2105
32,211,216,6,bottom,216,True,0.7273,1.0,0.2727
33,217,220,4,left,220,True,0.8571,1.0,0.1429
34,221,224,4,right,224,True,0.8571,1.0,0.1429
35,225,230,6,bottom,230,True,0.8182,1.0,0.1818
36,231,234,4,right,231,False,0.7143,0.2857,1.0
37,235,238,4,left,238,True,0.5714,1.0,0.4286
38,239,244,6,right,239,False,0.7273,0.2727,1.0
39,245,248,4,right,245,False,0.8571,0.1429,1.0
40,249,258,10,top,258,True,0.7368,1.0,0.2632
41,259,262,4,top,262,True,0.8571,1.0,0.1429
42,263,268,6,top,268,True,0.8182,1.0,0.1818
43,269,274,6,bottom,274,True,0.6364,1.0,0.3636
44,275,278,4,bottom,278,True,0.8571,1.0,0.1429
45,279,288,10,bottom,288,True,0.7895,1.0,0.2105
46,289,294,6,top,294,True,0.8182,1.0,0.1818
47,295,300,6,top,300,True,0.8182,1.0,0.1818
48,301,304,4,right,304,True,0.8571,1.0,0.1429
49,305,308,4,left,308,True,0.8571,1.0,0.1429
50,309,314,6,left,314,True,0.4545,1.0,0.5455
51,315,318,4,left,318,True,0.8571,1.0,0.1429
52,319,324,6,bottom,324,True,0.6364,1.0,0.3636
53,325,330,6,bottom,330,True,0.7273,1.0,0.2727
