plot_number,plex_id,street_side,th_position,layout,orientation_margin,bua_sqm,style_source
1,1,down,TH08,elio-b,0.8,205.3,key_plan
2,1,down,TH07,elio-b,0.8,176.09,key_plan
3,1,down,TH06,elio-a,0.8,175.63,key_plan
4,1,down,TH05,elio-b,0.8,173.33,key_plan
5,1,down,TH04,elio-a,0.8,173.25,key_plan
6,1,down,TH03,elio-b,0.8,173.23,key_plan
7,1,down,TH02,elio-a,0.8,173.19,key_plan
8,1,down,TH01,elio-a,0.8,205.32,key_plan
9,2,down,TH10,pharo-d,0.6842,203.37,key_plan
10,2,down,TH09,elio-b,0.6842,175.69,key_plan
11,2,down,TH08,elio-a,0.6842,175.71,key_plan
12,2,down,TH07,pharo-b,0.6842,191.73,key_plan
13,2,down,TH06,pharo-a,0.6842,194.14,key_plan
14,2,down,TH05,elio-b,0.6842,178.45,key_plan
15,2,down,TH04,elio-a,0.6842,176.24,key_plan
16,2,down,TH03,elio-b,0.6842,173.02,key_plan
17,2,down,TH02,elio-a,0.6842,173.19,key_plan
18,2,down,TH01,pharo-a,0.6842,203.14,key_plan
19,3,down,TH08,elio-b,0.6667,205.3,key_plan
20,3,down,TH07,elio-b,0.6667,176.09,key_plan
21,3,down,TH06,elio-a,0.6667,175.63,key_plan
22,3,down,TH05,elio-b,0.6667,173.33,key_plan
23,3,down,TH04,elio-a,0.6667,173.25,key_plan
24,3,down,TH03,elio-b,0.6667,173.23,key_plan
25,3,down,TH02,elio-a,0.6667,173.19,key_plan
26,3,down,TH01,elio-a,0.6667,205.32,key_plan
27,4,down,TH06,pharo-e,0.8182,203.36,key_plan
28,4,down,TH05,pharo-b,0.8182,189.45,key_plan
29,4,down,TH04,pharo-c,0.8182,189.19,key_plan
30,4,down,TH03,pharo-b,0.8182,189.08,key_plan
31,4,down,TH02,pharo-c,0.8182,189.54,key_plan
32,4,down,TH01,pharo-a,0.8182,203.2,key_plan
33,5,down,TH08,elio-b,0.8,205.3,key_plan
34,5,down,TH07,elio-b,0.8,176.09,key_plan
35,5,down,TH06,elio-a,0.8,175.63,key_plan
36,5,down,TH05,elio-b,0.8,173.33,key_plan
37,5,down,TH04,elio-a,0.8,173.25,key_plan
38,5,down,TH03,elio-b,0.8,173.23,key_plan
39,5,down,TH02,elio-a,0.8,173.19,key_plan
40,5,down,TH01,elio-a,0.8,205.32,key_plan
41,6,right,TH10,pharo-d,0.6842,203.37,key_plan
42,6,right,TH09,elio-b,0.6842,175.69,key_plan
43,6,right,TH08,elio-a,0.6842,175.71,key_plan
44,6,right,TH07,pharo-b,0.6842,191.73,key_plan
45,6,right,TH06,pharo-a,0.6842,194.14,key_plan
46,6,right,TH05,elio-b,0.6842,178.45,key_plan
47,6,right,TH04,elio-a,0.6842,176.24,key_plan
48,6,right,TH03,elio-b,0.6842,173.02,key_plan
49,6,right,TH02,elio-a,0.6842,173.19,key_plan
50,6,right,TH01,pharo-a,0.6842,203.14,key_plan
51,7,right,TH08,elio-b,0.8,205.3,key_plan
52,7,right,TH07,elio-b,0.8,176.09,key_plan
53,7,right,TH06,elio-a,0.8,175.63,key_plan
54,7,right,TH05,elio-b,0.8,173.33,key_plan
55,7,right,TH04,elio-a,0.8,173.25,key_plan
56,7,right,TH03,elio-b,0.8,173.23,key_plan
57,7,right,TH02,elio-a,0.8,173.19,key_plan
58,7,right,TH01,elio-a,0.8,205.32,key_plan
59,8,right,TH06,pharo-e,0.8182,203.36,key_plan
60,8,right,TH05,pharo-b,0.8182,189.45,key_plan
61,8,right,TH04,pharo-c,0.8182,189.19,key_plan
62,8,right,TH03,pharo-b,0.8182,189.08,key_plan
63,8,right,TH02,pharo-c,0.8182,189.54,key_plan
64,8,right,TH01,pharo-a,0.8182,203.2,key_plan
65,9,up,TH06,pharo-e,0.8182,203.36,key_plan
66,9,up,TH05,pharo-b,0.8182,189.45,key_plan
67,9,up,TH04,pharo-c,0.8182,189.19,key_plan
68,9,up,TH03,pharo-b,0.8182,189.08,key_plan
69,9,up,TH02,pharo-c,0.8182,189.54,key_plan
70,9,up,TH01,pharo-a,0.8182,203.2,key_plan
71,10,up,TH04,cyrus-b,0.8571,208.82,key_plan
72,10,up,TH03,cyrus-b,0.8571,195.06,key_plan
73,10,up,TH02,cyrus-a,0.8571,194.82,key_plan
74,10,up,TH01,cyrus-a,0.8571,206.0,key_plan
75,11,up,TH10,pharo-d,0.7895,203.37,key_plan
76,11,up,TH09,elio-b,0.7895,175.69,key_plan
77,11,up,TH08,elio-a,0.7895,175.71,key_plan
78,11,up,TH07,pharo-b,0.7895,191.73,key_plan
79,11,up,TH06,pharo-a,0.7895,194.14,key_plan
80,11,up,TH05,elio-b,0.7895,178.45,key_plan
81,11,up,TH04,elio-a,0.7895,176.24,key_plan
82,11,up,TH03,elio-b,0.7895,173.02,key_plan
83,11,up,TH02,elio-a,0.7895,173.19,key_plan
84,11,up,TH01,pharo-a,0.7895,203.14,key_plan
85,12,up,TH04,cyrus-b,0.8571,208.82,key_plan
86,12,up,TH03,cyrus-b,0.8571,195.06,key_plan
87,12,up,TH02,cyrus-a,0.8571,194.82,key_plan
88,12,up,TH01,cyrus-a,0.8571,206.0,key_plan
89,13,down,TH10,pharo-d,0.6316,203.37,key_plan
90,13,down,TH09,elio-b,0.6316,175.69,key_plan
91,13,down,TH08,elio-a,0.6316,175.71,key_plan
92,13,down,TH07,pharo-b,0.6316,191.73,key_plan
93,13,down,TH06,pharo-a,0.6316,194.14,key_plan
94,13,down,TH05,elio-b,0.6316,178.45,key_plan
95,13,down,TH04,elio-a,0.6316,176.24,key_plan
96,13,down,TH03,elio-b,0.6316,173.02,key_plan
97,13,down,TH02,elio-a,0.6316,173.19,key_plan
98,13,down,TH01,pharo-a,0.6316,203.14,key_plan
99,14,down,TH10,pharo-d,0.7895,203.37,key_plan
100,14,down,TH09,elio-b,0.7895,175.69,key_plan
101,14,down,TH08,elio-a,0.7895,175.71,key_plan
102,14,down,TH07,pharo-b,0.7895,191.73,key_plan
103,14,down,TH06,pharo-a,0.7895,194.14,key_plan
104,14,down,TH05,elio-b,0.7895,178.45,key_plan
105,14,down,TH04,elio-a,0.7895,176.24,key_plan
106,14,down,TH03,elio-b,0.7895,173.02,key_plan
107,14,down,TH02,elio-a,0.7895,173.19,key_plan
108,14,down,TH01,pharo-a,0.7895,203.14,key_plan
109,15,up,TH06,pharo-e,0.8182,203.36,key_plan
110,15,up,TH05,pharo-b,0.8182,189.45,key_plan
111,15,up,TH04,pharo-c,0.8182,189.19,key_plan
112,15,up,TH03,pharo-b,0.8182,189.08,key_plan
113,15,up,TH02,pharo-c,0.8182,189.54,key_plan
114,15,up,TH01,pharo-a,0.8182,203.2,key_plan
115,16,up,TH08,elio-b,0.7333,205.3,key_plan
116,16,up,TH07,elio-b,0.7333,176.09,key_plan
117,16,up,TH06,elio-a,0.7333,175.63,key_plan
118,16,up,TH05,elio-b,0.7333,173.33,key_plan
119,16,up,TH04,elio-a,0.7333,173.25,key_plan
120,16,up,TH03,elio-b,0.7333,173.23,key_plan
121,16,up,TH02,elio-a,0.7333,173.19,key_plan
122,16,up,TH01,elio-a,0.7333,205.32,key_plan
123,17,up,TH06,pharo-e,0.8182,203.36,key_plan
124,17,up,TH05,pharo-b,0.8182,189.45,key_plan
125,17,up,TH04,pharo-c,0.8182,189.19,key_plan
126,17,up,TH03,pharo-b,0.8182,189.08,key_plan
127,17,up,TH02,pharo-c,0.8182,189.54,key_plan
128,17,up,TH01,pharo-a,0.8182,203.2,key_plan
129,18,down,TH06,pharo-e,0.6364,203.36,key_plan
130,18,down,TH05,pharo-b,0.6364,189.45,key_plan
131,18,down,TH04,pharo-c,0.6364,189.19,key_plan
132,18,down,TH03,pharo-b,0.6364,189.08,key_plan
133,18,down,TH02,pharo-c,0.6364,189.54,key_plan
134,18,down,TH01,pharo-a,0.6364,203.2,key_plan
135,19,left,TH04,cyrus-b,0.7143,208.82,key_plan
136,19,left,TH03,cyrus-b,0.7143,195.06,key_plan
137,19,left,TH02,cyrus-a,0.7143,194.82,key_plan
138,19,left,TH01,cyrus-a,0.7143,206.0,key_plan
139,20,right,TH04,cyrus-b,0.8571,208.82,key_plan
140,20,right,TH03,cyrus-b,0.8571,195.06,key_plan
141,20,right,TH02,cyrus-a,0.8571,194.82,key_plan
